[name="整合运动"]   动作快！......
[name="レユニオン"]   早くしろ！　……。
[name="Reunion Member"]   Get moving! ...
[name="리유니온"]   서둘러라…!

[name="杰西卡"]   怎么会......
[name="ジェシカ"]   どうして……。
[name="Jessica"]   What's going on...?
[name="제시카"]   어째서…

[name="霜叶"]   （别出声！）
[name="フロストリーフ"]   （声を出すな！）
[name="Frostleaf"]   (Don't make a sound!)
[name="프로스트리프"]   (소리 내지 마!)

[name="杰西卡"]   （唔——）
[name="ジェシカ"]   （ううっ――）
[name="Jessica"]   (Nnnh---)
[name="제시카"]   (우우웁…)

[name="霜叶"]   （他们还在吗？）
[name="フロストリーフ"]   （アイツらはまだそこに？）
[name="Frostleaf"]   (Are they still around?)
[name="프로스트리프"]   (아직도 녀석들이 있나?)

[name="陨星"]   （还在......！）
[name="メテオリーテ"]   （まだいるわ……！）
[name="Meteorite"]   (They're still here...!)
[name="메테오라이트"]   (아직 있어…!)

[name="陨星"]   （似乎是在找什么东西——）
[name="メテオリーテ"]   （何かを探しているみたい――）
[name="Meteorite"]   (They seem to searching for something...)
[name="메테오라이트"]   (무언가를 찾고 있는 것 같아…)

[name="陨星"]   （——有一个整合运动，望向我们这边了！撤回掩体！）
[name="メテオリーテ"]   （――こちらを見ているやつが一人いるわ！　隠れて！）
[name="Meteorite"]   (A Reunion member is headed our way! We need to hide!)
[name="메테오라이트"]   (…한 명이 이쪽을 보고 있어! 숨어!)

[name="整合运动成员"]   ————
[name="レユニオン構成員"]   ――――
[name="Reunion Member"]   ...
[name="리유니온 멤버"]   ……

[name="整合运动成员"]   是我的错觉吗。
[name="レユニオン構成員"]   …目の錯覚か。
[name="Reunion Member"]   Must be my imagination.
[name="리유니온 멤버"]   내가 잘못 봤나?

[name="霜叶"]   （能不能狙击他们？）
[name="フロストリーフ"]   （狙撃は？）
[name="Frostleaf"]   (Can you get a clear shot on him?)
[name="프로스트리프"]   (저격으로 어떻게 안 되겠나?)

[name="陨星"]   （我们与敌人距离太远了......）
[name="メテオリーテ"]   （遠すぎるわね……。）
[name="Meteorite"]   (We're too far away...)
[name="메테오라이트"]   (거리가 너무 멀어…)

[name="陨星"]   （自从他们出现以后，爆炸声就停止了......）
[name="メテオリーテ"]   （あいつらが現れてから、カモフラージュになっていた爆発音も止んだ……。）
[name="Meteorite"]   (The explosions stopped as soon as they appeared...)
[name="메테오라이트"]   (저 녀석이 나타나고 나서, 이쪽에서 공격하는 소리를 숨겨주던 폭발음이 멈췄어…)

[name="陨星"]   （他们的站位很分散，我不可能一次性消灭全部三个。）
[name="メテオリーテ"]   （あれだけバラバラに立たれると、一発で三人を倒すのも難しそうだし。）
[name="Meteorite"]   (They're too spread out. There's no way I'd be able to take out all three at once.)
[name="메테오라이트"]   (저렇게 흩어져 있으면, 한 발로 세 명을 쓰러뜨리는 것도 어려울 것 같고.)

[name="陨星"]   （而且那些整合运动的动作，和普通的暴徒有明显的区别。）
[name="メテオリーテ"]   （それにあの動き、普通のレユニオンとは明らかに違う。）
[name="Meteorite"]   (Also, their movements are nothing like those ordinary street thugs.)
[name="메테오라이트"]   (게다가 저 움직임… 평범한 폭도들과는 확연히 차이가 나.)

[name="杰西卡"]   （其他整合运动，似乎没有那么厚重的装扮。）
[name="ジェシカ"]   （確かに他の構成員は、装備もあんなに充実してません。）
[name="Jessica"]   (The other Reunion troops don't seem to be dressed as heavily.)
[name="제시카"]   (확실히, 다른 리유니온 멤버들은 저렇게 장비를 잘 갖추고 있진 않았죠.)

