[name="整合运动成员"]  唔，唔......
[name="レユニオン構成員"]  ぐっ、ぐうっ……。
[name="Reunion Member"]  Nnnng...
[name="리유니온 멤버"]  으, 으윽……

[name="煌"]  不好意思啊。
[name="ブレイズ"]  ごめんね。
[name="Blaze"]  I'm sorry.
[name="블레이즈"]  미안 미안~

[name="煌"]  哦，我也不是打了你就不当你是同胞了。
[name="ブレイズ"]  君を殴ったからって、君のことを同胞じゃないと思ってるわけじゃないよ。
[name="Blaze"]  Now, me beating on you doesn't mean we aren't on the same side.
[name="블레이즈"]  너희를 동포 취급 안 해서 이렇게 팬 게 아니니까…

[name="煌"]  ......算了，这话我自己说了都不信。
[name="ブレイズ"]  ……まぁいいや。そんな言葉、自分でも信じられないから。
[name="Blaze"]  Haha! Yeah, no, seriously. It does. We're not on the same side.
[name="블레이즈"]  …아니다, 말하는 나도 잘 못 믿겠네. 맘대로 생각해라.

[name="煌"]   煌，通报Blaze-4号小队，俘获十数个整合运动成员。
[name="ブレイズ"]   こちらブレイズ。Blaze-4小隊全員に通達、十数人規模のレユニオン構成員を捕えた。
[name="Blaze"]   This is Blaze. Come in, Team Blaze-4. Captured a dozen or so Reunion.
[name="블레이즈"]   여기는 블레이즈, 블레이즈-4 팀에게 전달한다, 리유니온 십여 명을 사로잡았다.

[name="煌"]   有机会的话就来接收，没时间就交给龙门当局了。
[name="ブレイズ"]   余裕があれば回収に来てほしいところだけど、時間がなければ龍門当局に引き渡すよ。
[name="Blaze"]   Come recover them when you can. Otherwise just hand them over to Lungmen.
[name="블레이즈"]   여유가 되면 나중에 데려가고, 시간이 안 될 거 같으면 바로 용문 당국에 넘겨주도록.

[name="煌"]   那边的龙门人，把弩放下。没必要那么警戒。
[name="ブレイズ"]   そこの龍門人、そのクロスボウを下ろして。そんなに警戒しなくてもいいから。
[name="Blaze"]   Hey, Lungmenite, do me a favor and lower your crossbows. We're all friends here.
[name="블레이즈"]   어이 거기 용문인, 석궁 내려놔. 그렇게 경계할 필요 없어.

[name="近卫局成员"]  ......
[name="近衛局隊員"]  ……。
[name="L. G. D. Officer"]  ......
[name="근위국 멤버"]  ……

[name="煌"]  我是哪里还得不到你们的信任？我甚至救了你们一命。
[name="ブレイズ"]  一体私のどこが信用できないのかな？　君たちの命だって救ってあげたじゃない。
[name="Blaze"]  You still don't trust me? I saved your life.
[name="블레이즈"]  대체 내 어디가 그렇게 믿음이 안 가는 건데? 너희들 목숨을 구해주기까지 했잖아.

[name="近卫局成员"]  退后......！我知道，可、可你......感染者......！
