龙门上城区  7：20 p.m.
p.m.7:20 龍門 アップタウン
Uptown Lungmen 7:20 P.M.
용문 북부, 7:20 p.m.

[name="陈"]  哈，哈......
[name="チェン"]  ハァ、ハァ……
[name="Ch'en"]  *Pant* *pant*...
[name="첸"]  하아, 하아……

[name="星熊"]  ......你竟然这么坚定。
[name="ホシグマ"]  ……まさかここまで頑固だとは。
[name="Hoshiguma"]  ...You're pretty serious about this.
[name="호시구마"]  ……정말 끈질기네.

[name="星熊"]  没想到。我没想到，你......能让我流血。
[name="ホシグマ"]  全く予想外だ。お前が……私に血を流させることができるなんて。
[name="Hoshiguma"]  Real unexpected. Never would've thought... that you'd be able to make me bleed.
[name="호시구마"]  상상도 못 했어. 설마 네가, 나에게…… 상처를 낼 수 있을 거라고는 말이야.

[name="陈"]  我们，哈，我们都，从来没能......走出过去。
[name="チェン"]  私たちは……ハァ、ハァ……過去から逃れられたことなど……一度もない。
[name="Ch'en"]  We... have never... been able to walk away... from our past.
[name="첸"]  우리는, 하아…… 우리는 모두, 아직까지도…… 과거에서 벗어나지 못했지.

[name="陈"]  星熊，你一直在这座城里，而我......始终不在，也一直在逃。
[name="チェン"]  ホシグマ、お前は初めからこの街にいた。だが私はそうじゃない。これまでずっと何かから逃げ続けていた。
[name="Ch'en"]  Hoshiguma, you've always been a part of this city. But... not me. I've always been running.
[name="첸"]  호시구마, 넌 계속 이 도시에 있었지만, 나는…… 아니었다. 난 언제나 도망치고 있었어.

[name="陈"]  我想我永远都无法忍受这座城市。
[name="チェン"]  この街に心を許すことなど、永遠にできないのだろう。
[name="Ch'en"]  I don't think I'll ever be able to stand this place.
[name="첸"]  난 아마 영원히 이 도시를 받아들일 수 없을 거다.

[name="星熊"]  最后还是变成了这种小打小闹。
[name="ホシグマ"]  ……最後がこんなくだらない喧嘩になるとは思ってもみなかった。
[name="Hoshiguma"]  It turned into another one of these in the end.
[name="호시구마"]  결국 우리끼리 잠깐 투닥거린 셈만 됐잖아.

[name="星熊"]  我拦不住你了。你走吧。
[name="ホシグマ"]  行け。私の体が動くようになる前に。
[name="Hoshiguma"]  I can't stop you. Go.
[name="호시구마"]  난 너 못 막겠다. 가라.

[name="陈"]  ......
[name="チェン"]  …………
[name="Ch'en"]  ...
[name="첸"]  ……

[name="陈"]  抱歉，星熊。
[name="チェン"]  すまない。ホシグマ。
[name="Ch'en"]  Sorry, Hoshiguma.
[name="첸"]  미안하다, 호시구마.

[name="陈"]  我走以后，请你代我去贫民区。贫民区的居民惊魂未定，该有人代表近卫局去保护他们。
[name="チェン"]  私の代わりに、スラムに定期的に顔を出してくれ。残ったスラムの住民は、まだ落ち着いていないはずだ。誰かが近衛局を代表して彼らを守ってやらねばならない。
[name="Ch'en"]  After I'm gone, please go to the slums for me. The people there are panicked and confused. Someone from the L.G.D. has to protect them.
[name="첸"]  내가 떠나면, 나 대신 슬럼가를 부탁한다. 슬럼가의 주민들은 아직 정신이 없는 상태일 거다. 누군가는 근위국을 대표해서 그들을 지켜야만 해.

[name="陈"]  如果有感染者的孩子，送你玩具小熊的话......
[name="チェン"]  もし感染者の子供が、クマのおもちゃを差し出してきたら……
[name="Ch'en"]  If some Infected kids give you a toy bear...
[name="첸"]  혹시 감염자의 아이가 곰인형이라도 건넨다면……

[name="陈"]  收下吧。那是乌萨斯人教她们做的。因我们的失误而丧生的米莎，教她们做的。
