晖洁：
フェイゼへ：
Hui-chieh:
훼이지에에게

雪没有化。春天没有来。
雪は未だ解けない。春は遠い。
The snow hasn't melted. And spring hasn't come.
눈은 녹지 않았어. 봄도 오지 않았고.

这个春天仿佛怎么都不会来。
まるで春が訪れることはないかのように。
It feels like this next spring is never going to arrive.
이번 봄은 아무래도 오지 않을 것 같아.

每当抬头看见烛火，就不禁伸出手把它掐灭，却又不得不在黑暗中重新点燃它。
ロウソクの灯火を目にする度に、思わず指で潰して消したくなる。しかし、この暗闇の中では再び火を灯さなければならない。
Each time I lift my head up to see the candlelight, I just cannot help but to reach my hand out to put it out, only to light it up anew in the darkness.
고개를 들고 촛불을 볼 때면 나도 모르게 손을 뻗어 불을 껐다가 어둠 속에서 또다시 불을 붙이곤 해.

快过去吧，冬天。再不过去，我们就都要被这场雪埋住了。
冬よ、早く過ぎ去れ。このままでは雪に潰されてしまいそうだ。
Please go away soon, winter. If you don't go away soon, we'll be buried by all this snow.
겨울이 어서 지나가야 할 텐데. 이대로 겨울이 끝나버리지 않으면, 우리 모두 이 눈에 묻혀버릴지도 몰라.

快点过去吧。
どうか、早く。
Please, I beg of you.
어서, 어서 지나가 주길……

2月21日
2月21日
February 21st
2월 21일

[name="感染者战士"]  塔露拉，你怎么了？
[name="感染者戦士"]  タルラ、大丈夫か？
[name="Infected Fighter"]  Talulah, is something wrong?
[name="감염자 전사"]  탈룰라, 무슨 일이야?

[name="塔露拉"]  ......
[name="タルラ"]  ……
[name="Talulah"]  ......
[name="탈룰라"]  ……

[name="塔露拉"]  什么？
[name="タルラ"]  何がだ？
[name="Talulah"]  What?
[name="탈룰라"]  뭐라고?

[name="感染者"]  这几个月你消沉了好多。发生什么事了？
[name="感染者"]  数ヶ月前から随分憔悴しているように見える。何かあったのか？
[name="Infected"]  You've been pretty gloomy the past couple months. Did something happen?
[name="감염자"]  요 근래 부쩍 풀이 죽어 보이는데 무슨 일이라도 있던 거야?

[name="塔露拉"]  没什么......没什么。
[name="タルラ"]  いや……何も。
[name="Talulah"]  Nothing... nothing at all.
[name="탈룰라"]  아무것도 아니야, 아무것도……

[name="感染者"]  我跟你们的时间不长，但按他们说的，以前的你......会不会活泼点儿？
[name="感染者"]  お前と出会ってまだ日が浅いが、ほかの奴らの話を聞く限りじゃ、昔のお前は、もっとこう……明るい性格だったんじゃないのか？
[name="Infected"]  I haven't spent that much time with everyone here, but going by what I've heard from the others, I got the impression you used to be a bit more... energetic?
