10:30 A.M.  天气/晴
a.m. 10:30 天気/晴天
10:30 A.M. \ Clear
10:30 A.M. 날씨/맑음

罗德岛本舰，四号舱室，疗养庭院
ロドス本艦 四号船室 療養庭園
Rhodes Island Landship, Cabin 4, Convalescent Garden
로도스 아일랜드 본함, 4호 선실, 요양 정원

[name="暗索"]  打扰了~
[name="ロープ"]  お邪魔しま～す。
[name="Rope"]  'Scuse me~
[name="로프"]  실례합니다~

[name="暗索"]  ......？
[name="ロープ"]  ……？
[name="Rope"]  ......?
[name="로프"]  ……?

[name="暗索"]  打扰了，有人在吗——
[name="ロープ"]  すいませ～ん！　誰かいませんか？
[name="Rope"]  'Scuse meee, anyone in—
[name="로프"]  저기요~ 누구 없어요~?

[name="暗索"]  嗯嗯？
[name="ロープ"]  ん？
[name="Rope"]  Hmmm?
[name="로프"]  응?

[name="暗索"]  啊呀。
[name="ロープ"]  ……ありゃ。
[name="Rope"]  Aw, man.
[name="로프"]  아.

[name="暗索"]  没人在呀？你好——你好——请问——有人在吗——！哈——喽——？
[name="ロープ"]  誰もいないの？　こーんにーちはー！　誰かー、いませんかー！　ハロー！！　いないのー！？
[name="Rope"]  Nobody in? Morniiiing—Mooorniiiing—Just checkiiiiing—Anyone iiiiiiiin—! Halllll—looooooo—?
[name="로프"]  누구 없어요? 안녕하세요~ 저기요~ 헬~로우?

[name="暗索"]  ......
[name="ロープ"]  ……
[name="Rope"]  ......
[name="로프"]  ……

[name="暗索"]  欸，真没人啊。
[name="ロープ"]  うわ、本当に誰もいないっぽい。
[name="Rope"]  Huh, actually deserted.
[name="로프"]  진짜 아무도 없네.

[name="暗索"]  这可头疼了。
[name="ロープ"]  これは困ったな。
[name="Rope"]  That's sucky.
[name="로프"]  골치 아프게 됐네.

[name="暗索"]  空手白来一趟可不是我的作风，哼哼，来都来了，就让我龙门小飞侠暗索来看看，这里都有些什么好东西......
[name="ロープ"]  フフンッ、せっかく来たのに、手ぶらで帰るなんてぼくの主義に反するね。龍門の凄腕ロープ様が見てやろう。ここにはどんなお宝があるのかな……
[name="Rope"]  Wasting my time somewhere empty-handed ain't my style. Hm-hmm, I'm here after all. Let's let your li'l Peter Pan of Lungmen, Rope, take a look, see what nice stuff's lying around...
