[name="米莎"]   呜唔......
[name="ミーシャ"]   うぐっ……。
[name="Misha"]   Nngh...
[name="미샤"]   으윽…

[name="能天使"]   她......怎么了？
[name="エクシア"]   この子……どうしたの？
[name="Exusiai"]   What's wrong with her...?
[name="엑시아"]   이 아이… 왜 이러는 거야?

[name="阿米娅"]   这，这是矿石病发作的征兆！
[name="アーミヤ"]   こ、これは鉱石病発作の前兆です！
[name="Amiya"]   It's an acute symptom of Oripathy!
[name="아미야"]   이, 이건 광석병 발작 전조증상이에요!

[name="阿米娅"]   啧，才一星期就......！
[name="アーミヤ"]   どうして……たった一週間で……！
[name="Amiya"]   But it's only been a week...!
[name="아미야"]   어째서… 고작 일주일밖에 안 됐는데…!

[name="雷蛇"]   矿石病也有急性的吗？
[name="リスカム"]   鉱石病には急性のものもあるんですか？
[name="Liskarm"]   There's also an acute form of Oripathy?
[name="리스캄"]   급성으로 걸리는 광석병도 있었나?

[name="雷蛇"]   芙兰卡，你是哪种？
[name="リスカム"]   フランカ、あなたはどう？
[name="Liskarm"]   Franka, which type is yours?
[name="리스캄"]   프란카, 너는 어떤 광석병이지?

[name="芙兰卡"]   怎么，关心我了吗？
[name="フランカ"]   あら、あたしを心配してくれるのかしら？
[name="Franka"]   What, are you concerned about me?
[name="프란카"]   어머, 내 걱정해주는 거야?

[name="雷蛇"]   阿米娅，如果芙兰卡病逝了，我希望能在罗德岛火化她。
[name="リスカム"]   アーミヤさん、フランカが死んだら、ロドスで盛大に火葬してあげてください。
[name="Liskarm"]   Amiya, if Franka passes away, I hope that Rhodes Island will cremate her.
[name="리스캄"]   아미야, 프란카가 죽으면 로도스 아일랜드에서 화장해다오.

[name="芙兰卡"]   喂！
[name="フランカ"]   ちょっと！
[name="Franka"]   Hey!
[name="프란카"]   아 진짜!

[name="芙兰卡"]   你很过分哦，雷蛇！
[name="フランカ"]   ひどいわよ、リスカム！
[name="Franka"]   That's mean, Liskarm!
[name="프란카"]   너무한 거 아니야? 리스캄!

[name="雷蛇"]   平时老说要传染我的不是你吗！
[name="リスカム"]   いつもふざけて「いうこと聞かないと鉱石病を移してやるぅ」なんて言ってくるフランカが悪い。
[name="Liskarm"]   You're the one who's always talking about passing the infection on to me!
[name="리스캄"]   평소에 광석병을 옮기겠다고 협박하는 건 프란카 너잖아!

[name="阿米娅"]   哈，哈哈......
[name="アーミヤ"]   あ、あはは……。
[name="Amiya"]   Aha... Ahaha...!
[name="아미야"]   아, 아하하…

[name="阿米娅"]   急性和慢性之分，具体回答起来有些复杂......
[name="アーミヤ"]   鉱石病には急性のものと慢性のものがあるんです。説明すると長くなるんですが……。
[name="Amiya"]   The difference between the acute and chronic types is a rather complicated topic.
[name="아미야"]   급성 광석병과 만성 광석병에 대해 설명하면 이야기가 길어지겠지만…

[name="阿米娅"]   但至少，米莎她的情况，非常危险。
[name="アーミヤ"]   少なくとも、ミーシャさんはとても危険な状態にあります。
[name="Amiya"]   However, Misha's condition is very dangerous.
[name="아미야"]   확실한 건, 미샤 씨의 상태는 정말 위험하다는 거예요.

[name="阿米娅"]   这样下去，在很短的时间内，矿石病就有可能威胁到她的生命。
[name="アーミヤ"]   このままでは、鉱石病が短時間で彼女の生命を脅かすことになると思います。
[name="Amiya"]   If we don't do anything, this condition will become life threatening very quickly.
[name="아미야"]   이대로라면 정말 짧은 시간 안에 미샤 씨의 목숨이 위험해질 수도 있어요…

[name="阿米娅"]   只能先应急处理一下......
[name="アーミヤ"]   今は応急処置をしてあげることしかできませんが……。
[name="Amiya"]   All we can do is give her some emergency treatment...
[name="아미야"]   지금은 응급처치밖에 해드릴 수 있는 게 없지만…

[name="阿米娅"]   但对米莎的病情进行控制这件事，刻不容缓。
[name="アーミヤ"]   でもミーシャさんの病状を見るに根本的な治療が必要です。
[name="Amiya"]   But we must control Misha's symptoms as quickly as possible.
[name="아미야"]   미샤 씨의 상태가 촌각을 다투는 상황이란 건 확실해요.

[name="阿米娅"]   必须向龙门声明这一点。事件平息之后，我们必须把米莎接回罗德岛。
[name="アーミヤ"]   龍門には強く要請したいと思います。ミーシャさんはロドスで治療すると……。
[name="Amiya"]   We have to make this clear to Lungmen. After this ends, we have to bring Misha with us back to Rhodes Island.
[name="아미야"]   용문에 전할게요. 사건이 진정되면 미샤 씨를 로도스 아일랜드에 맡겨달라고요.

[name="阿米娅"]   这是我们对任务目标的责任。
[name="アーミヤ"]   それがここまで連れてきた私たちの責任でもあります。
[name="Amiya"]   This is part of our responsibility.
[name="아미야"]   그게 우리 책임이기도 하니까요.

[name="能天使"]   呃......
[name="エクシア"]   うーん……。
[name="Exusiai"]   Um...
[name="엑시아"]   으음…

[name="能天使"]   她是不是......快爆了？
[name="エクシア"]   この子は…もう少しで…爆発しちゃいそうに…見えるけど…？
[name="Exusiai"]   Is she... going to explode soon?
[name="엑시아"]   이 아이… 조금 더 있으면… 폭발해버리는 거 아니야?

[name="能天使"]   唉！疼！为什么要打我......
[name="エクシア"]   うわっ！　痛っ！　どうしていきなり叩くのよ……。
[name="Exusiai"]   Oww! That hurt! Why'd you hit me...
[name="엑시아"]   아얏! 아프잖아! 왜 때리는 거야…

[name="德克萨斯"]   说话注意点。
[name="テキサス"]   言葉には気をつけろ。
[name="Texas"]   Watch your mouth.
[name="텍사스"]   말조심해.

[name="能天使"]   呜......
[name="エクシア"]   …はーい……すいません…。
[name="Exusiai"]   Ughh...
[name="엑시아"]   알았어…

[name="芙兰卡"]   如果有一天我快爆了，我一定会努力爬到你身边的。
[name="フランカ"]   もしあたしが爆発するときが来たら、最後の力を振り絞ってあなたの側に行くことにするわ。
[name="Franka"]   If I'm going to explode one day, I'll make sure to crawl up to you.
[name="프란카"]   만약 내가 폭발하는 날이 온다면, 마지막 힘을 쥐어짜서라도 네 옆에서 터져줄게.

[name="能天使"]   对不起！芙兰卡小姐！以前多有得罪请原谅我！
[name="エクシア"]   ええっ、そんな。今のナシ！　フランカ様ぁ～！　お願いだから許してよ～！
[name="Exusiai"]   I'm sorry! Miss Franka, please forgive me for everything I've done!
[name="엑시아"]   정말 죄송합니다! 프란카 님! 한 번만 봐주세요!

[name="芙兰卡"]   噗。
[name="フランカ"]   やれやれ……。
[name="Franka"]   Pfft...
[name="프란카"]   풉.

[name="雷蛇"]   先把目标转移到安全的地区吧。
[name="リスカム"]   ともかく今は先を急ぎましょう――
[name="Liskarm"]   Let's transfer her to a safe place first.
[name="리스캄"]   우선 목표물을 안전한 구역까지 호송하도록 하지.

[name="雷蛇"]   顺便，我们后方，发生了些情况。
[name="リスカム"]   ――と言っている側から揉め事のようです…。
[name="Liskarm"]   By the way, we seem to have a situation behind us.
[name="리스캄"]   그리고… 후방에 지금 무슨 일이 생긴 것 같은데.

[name="感染者"]   你们要干什么！！滚出去！！
[name="感染者"]   何をするつもりだ！！　出て行け！！
[name="Infected"]   What are you doing? ! Get out! !
[name="감염자"]   무슨 짓을 하려는 거야!! 여기서 나가!

[name="整合运动成员"]   大家都是感染者，我们不想动粗！别挡路！
[name="レユニオン構成員"]   俺たちも感染者だ、争いたくない！　道を塞ぐな！
[name="Reunion Member"]   We're all fellow Infected here, don't make us resort to violence! Get out of our way!
[name="리유니온 멤버"]   우리도 감염자다. 좋은 말로 할 때 비켜!

[name="感染者"]   你已经毁了我们的家，现在还要把近卫局引过来吗！别想过去！！
[name="感染者"]   お前たちは俺たちの家を壊したばかりか、近衛局までここに呼び込むつもりか！　ここを通れると思うな！！
[name="Infected"]   You've already destroyed our home, and now you're trying to get the L.G.D. here?! Forget it! !
[name="감염자"]   집을 부순 것도 모자라 근위국까지 여기로 불러모을 셈이냐?! 여기는 못 지나간다!!

[name="感染者"]   你......！不识时务的家伙，快滚开！！
[name="レユニオン構成員"]   お前ら……！　時代錯誤の化物め、消えろ！！
[name="Infected"]   You little...! You ignorant fool, get out of the way! !
[name="리유니온 멤버"]   이…  시대에 뒤떨어진 것들이, 썩 꺼져!!

