龙门上城区  7：20 p.m.
p.m.7:20 龍門 アップタウン
용문 북부, 7:20 p.m.

[name="陈"]  哈，哈......
[name="チェン"]  ハァ、ハァ……
[name="첸"]  하아, 하아……

[name="星熊"]  ......你竟然这么坚定。
[name="ホシグマ"]  ……まさかここまで頑固だとは。
[name="호시구마"]  ……정말 끈질기네.

[name="星熊"]  没想到。我没想到，你......能让我流血。
[name="ホシグマ"]  全く予想外だ。お前が……私に血を流させることができるなんて。
[name="호시구마"]  상상도 못 했어. 설마 네가, 나에게…… 상처를 낼 수 있을 거라고는 말이야.

[name="陈"]  我们，哈，我们都，从来没能......走出过去。
[name="チェン"]  私たちは……ハァ、ハァ……過去から逃れられたことなど……一度もない。
[name="첸"]  우리는, 하아…… 우리는 모두, 아직까지도…… 과거에서 벗어나지 못했지.

[name="陈"]  星熊，你一直在这座城里，而我......始终不在，也一直在逃。
[name="チェン"]  ホシグマ、お前は初めからこの街にいた。だが私はそうじゃない。これまでずっと何かから逃げ続けていた。
[name="첸"]  호시구마, 넌 계속 이 도시에 있었지만, 나는…… 아니었다. 난 언제나 도망치고 있었어.

[name="陈"]  我想我永远都无法忍受这座城市。
[name="チェン"]  この街に心を許すことなど、永遠にできないのだろう。
[name="첸"]  난 아마 영원히 이 도시를 받아들일 수 없을 거다.

[name="星熊"]  最后还是变成了这种小打小闹。
[name="ホシグマ"]  ……最後がこんなくだらない喧嘩になるとは思ってもみなかった。
[name="호시구마"]  결국 우리끼리 잠깐 투닥거린 셈만 됐잖아.

[name="星熊"]  我拦不住你了。你走吧。
[name="ホシグマ"]  行け。私の体が動くようになる前に。
[name="호시구마"]  난 너 못 막겠다. 가라.

[name="陈"]  ......
[name="チェン"]  …………
[name="첸"]  ……

[name="陈"]  抱歉，星熊。
[name="チェン"]  すまない。ホシグマ。
[name="첸"]  미안하다, 호시구마.

[name="陈"]  我走以后，请你代我去贫民区。贫民区的居民惊魂未定，该有人代表近卫局去保护他们。
[name="チェン"]  私の代わりに、スラムに定期的に顔を出してくれ。残ったスラムの住民は、まだ落ち着いていないはずだ。誰かが近衛局を代表して彼らを守ってやらねばならない。
[name="첸"]  내가 떠나면, 나 대신 슬럼가를 부탁한다. 슬럼가의 주민들은 아직 정신이 없는 상태일 거다. 누군가는 근위국을 대표해서 그들을 지켜야만 해.

[name="陈"]  如果有感染者的孩子，送你玩具小熊的话......
[name="チェン"]  もし感染者の子供が、クマのおもちゃを差し出してきたら……
[name="첸"]  혹시 감염자의 아이가 곰인형이라도 건넨다면……

[name="陈"]  收下吧。那是乌萨斯人教她们做的。因我们的失误而丧生的米莎，教她们做的。
[name="チェン"]  受け取ってやれ。あれはあるウルサス人が作り方を教えたものだ。私たちのせいで命を落としたミーシャがな。
[name="첸"]  꼭 받아줘. 그건 우르수스인이 가르쳐준 거니까. 우리의 실수로 목숨을 잃은 미샤가, 그 아이들에게 그렇게 가르쳐줬다.

[name="星熊"]  好。我会做到。
[name="ホシグマ"]  わかった。
[name="호시구마"]  그래, 그렇게 할게.

[name="陈"]  对不起。我欠你的。
[name="チェン"]  本当にすまない。一つ借りだ。
[name="첸"]  미안하다. 너한텐 빚을 졌군.

[name="星熊"]  我不想听你道歉。说实在的，你不适合。
[name="ホシグマ"]  お前の謝罪など聞きたくもないな。全くもってお前らしくない。
[name="호시구마"]  사과는 별로 듣고 싶지 않아. 너랑 어울리지도 않고.

[name="陈"]  星熊......
[name="チェン"]  ホシグマ……
[name="첸"]  호시구마……

[name="星熊"]  ......该说都说完了。
[name="ホシグマ"]  ……もうこれ以上話すことはない。
[name="호시구마"]  ……이제 할 말은 다 끝난 거지.

[name="星熊"]  走！别再回来。
[name="ホシグマ"]  行け！　振り返るな！
[name="호시구마"]  가! 그리고 다시는 돌아오지 마.

[name="陈"]  ——
[name="チェン"]  ――っ！！
[name="첸"]  ……

[name="陈"]  ......珍重。
[name="チェン"]  ……元気でな。
[name="첸"]  ……잘 지내라.

[name="星熊"]  “无法忍受这座城市？”
[name="ホシグマ"]  「この街に心を許すことなど、永遠にできない」だと？
[name="호시구마"]  이 도시를 받아들일 수 없다고?

[name="星熊"]  ......有几个人比你更在乎这座城市？
[name="ホシグマ"]  ……お前以上にこの街を愛している奴がどこにいるんだ？
[name="호시구마"]  놀고 있네…… 너만큼 이 도시를 걱정하는 사람이 또 어디 있다고……

[name="星熊"]  谎话精......
[name="ホシグマ"]  頑固で、優しい……嘘つきめ……
[name="호시구마"]  거짓말쟁이……

[name="近卫局成员"]  星熊督察！
[name="近衛局隊員"]  ホシグマ督察！
[name="근위국 대원"]  호시구마 경관님!

[name="近卫局成员"]  ......什么？督察，你，你受伤了？谁能......
[name="近衛局隊員"]  ……あれ？　督察、まさか怪我を？　相手は一体、何百人です？
[name="근위국 대원"]  ……어? 경관님, 혹시, 다치셨습니까? 대체 누가……

[name="近卫局成员"]  对了，我们刚刚、刚刚看见陈长官她——
[name="近衛局隊員"]  はっ！　そういえば、先ほどチェン隊長を見かけました！　急いで追わないと……あっちです、早く――
[name="근위국 대원"]  아 참, 방금 전에, 분명 첸 팀장님이……

[name="星熊"]  啊，那个，抱歉。
[name="ホシグマ"]  待ってくれ、体がいうことを……ああ、そうだ、ちょっといいか？
[name="호시구마"]  아, 저기 미안한데.

[name="星熊"]  你们有没有时间好好聊聊？
[name="ホシグマ"]  傷の痛みを紛らわすために少し……話し相手をしてほしいんだが。
[name="호시구마"]  잠깐 나랑 수다나 떨러 갈까?

[name="近卫局成员"]  督察......意思是你也要妨碍公务哈？
[name="近衛局隊員"]  督察……まさかあなたまで公務執行妨害ですか？
[name="근위국 대원"]  경관님…… 공무 집행을 방해하시겠단 뜻입니까?

[name="星熊"]  ......也不能这么说吧。
[name="ホシグマ"]  ……そんな言い方はないだろう。
[name="호시구마"]  아니 무슨 말을…… 그렇게 말하면 섭섭하지.

[name="魏彦吾"]  出去吧。
[name="ウェイ"]  下がって良い。
[name="웨이 옌우"]  나가봐라.

[name="？？？"]  是，魏公。
[name="？？？"]  はっ、ウェイ閣下。
[name="???"]  예, 웨이 님.

[name="魏彦吾"]  我说过......别再那么称呼我。
[name="ウェイ"]  言ったはずだ……その呼び方はよせ、と。
