中央区
中央エリア

一段时间之前
少し前

[Decision(options="为什么你认定阿米娅她们在指挥塔前......", values="1")]
[Decision(options="なぜアーミヤたちが司令塔にたどり着く前に――", values="1")]

[Decision(options="不会遭遇塔露拉的精锐部队？", values="1")]
[Decision(options="タルラの精鋭部隊に遭遇しないと言い切れる？", values="1")]

[name="凯尔希"] 这正是阴谋家的难处。
[name="ケルシー"] そこがまさに陰謀家の習性が顕れる部分だ。

[name="凯尔希"] 一个军阀，或者一个暴虐且狡诈的君王，他们的要塞向来易守难攻。
[name="ケルシー"] 軍閥であれ、狡猾な暴君であれ、彼らの居城は決まって難攻不落であるものだ。

[name="凯尔希"] 他们知道自己的所作所为一定会遭到疯狂的报复，他们会用优势的兵力和先进的武器，布置坚实的防守。
[name="ケルシー"] 彼らは常に、自らの悪行に対する復讐を念頭に置いている。だから自らの居城には、屈強な兵士や最新鋭の兵器を配備し、鉄壁の防衛線を敷く。

[name="凯尔希"] 可是，既然塔露拉的暴君行径已经被证实是种表演，那么，她不会这么做。
[name="ケルシー"] だが、タルラの暴君のような振る舞いは、単なる演技にすぎない。だから、彼女はそのようなことはしない。

[Decision(options="你哪来的自信？;......;我想听听理由。", values="1;2;3")]
[Decision(options="その自信はどこから？;……;理由を聞かせてもらおう。", values="1;2;3")]

[name="凯尔希"] 经验，理论，现象。
[name="ケルシー"] これは経験、理論、そして現象に基づくものだ。

[name="凯尔希"] 我没有自信，我只是能推演出事实。
[name="ケルシー"] だが、自信があるわけではない。推測により確度の高い結論を導き出しているだけだ。

[name="凯尔希"] ......我其实也期待你能给出自己的意见。
[name="ケルシー"] ……君自身の意見も聞けると期待していたのだがな。

[name="凯尔希"] 或者，你觉得沉默就已经是种意见了？
[name="ケルシー"] それとも、沈黙が君の答えなのかな？

[name="凯尔希"] 那谢谢你的理解。
[name="ケルシー"] それならば、君の理解に感謝する。

[name="凯尔希"] 如果我的想法能够赢得你的认同......
[name="ケルシー"] もし私の考えが君の賛同を得られたならば……

[name="凯尔希"] 你会不会觉得，我会因此而感到欣喜？
[name="ケルシー"] 私が喜びを感じるとでも思っているのか？

[name="凯尔希"] 尊重是双向的。如果你重视我的观点，并且得出有益的结论，那么我也会将你的观点纳入考量。
[name="ケルシー"] 尊重は双方向のものだ。もし君が私の観点を尊重し、それが有益であるという結論を出したのなら、私も君の観点を尊重し考慮する。ただそれだけだ。

[name="凯尔希"] 塔露拉在维护自己的形象。她需要让普通的感染者尊重她，让萨卡兹雇佣兵服从她，让游击队信任她，让狂热者崇拜她......
[name="ケルシー"] タルラは自分のイメージを大事にしている。一般の感染者の尊敬、サルカズ傭兵の服従、遊撃隊の信頼、熱狂的な信者からの崇拝……それら全てを一身に集める必要があるからな。

[name="凯尔希"] 她就必须让自己和他们之间的距离清晰可见，让这些人能够相互审视。
[name="ケルシー"] 彼女は、自分と彼らとの距離を明確にし、これらの人々を互いに監視させなければならない。

[name="凯尔希"] 根据整合运动的一系列表现，我们可以很清楚地知道，整合运动的其他领袖对塔露拉的行为并没有太多认识。
[name="ケルシー"] レユニオンの一連の状況から、はっきりと言えることが一つある。それはレユニオンの他のリーダーは、タルラの行動について多くを把握していないということだ。

[name="凯尔希"] 即使是已经窥见她阴谋的爱国者，也没有能力在急剧变化中力挽狂澜。假使他能杀了塔露拉，也一样改变不了整合运动倾颓的趋势。
[name="ケルシー"] 彼女の陰謀に気付いたパトリオットでさえも、急激な変化の荒波に抗うすべはなかった。もし彼がタルラを殺せたとしても、滅亡に向かうレユニオンを止めることはできなかっただろう。

[name="凯尔希"] 何况，塔露拉在脑海中勾勒这个利用感染者的阴谋......她需要的时间，可能比现在整合运动存在的时间更长。
[name="ケルシー"] タルラが思い描いた感染者を利用するという緻密な陰謀は……現在までのレユニオンの活動期間よりも長い時間をかけて画策されたものなのかもしれない。

[name="凯尔希"] 我猜想，整合运动迄今为止的所有行动，都是以一个前提去设计的......
[name="ケルシー"] そして私は、レユニオンのこれまでの活動は全て、ある条件を前提に計画されたものだと考えている。

[name="凯尔希"] “整合运动将在事件结束后毁灭。”
[name="ケルシー"] 「レユニオンは事態の収拾後に消滅する」という……な。

[name="凯尔希"] 塔露拉会将尖锐而隐秘的力量分散在疆土各处，在需要的时候召集他们，让他们在合适的时机出现。
[name="ケルシー"] タルラは、必要な時に招集可能な精鋭揃いの隠密部隊を各地に配備した上で、絶好のタイミングで出動させるつもりだろう。

[name="凯尔希"] 博士，我想，乌萨斯帝国的第三集团军其实是不会允许任何感染者自由行动的。
[name="ケルシー"] ドクター、私が思うに、ウルサス帝国の第三師兵団は、実は感染者の自由な行動を許してはいない可能性がある。

[name="凯尔希"] 只不过，整合运动现在的所有作为，都在他们的容忍范围之内。这种表面上的暴力、缺乏纪律与散漫，是第三集团军所乐见的。
[name="ケルシー"] つまり、単に現時点におけるレユニオンのあらゆる活動が、彼らの許容範囲にあるというだけだ。表面上だけの暴動や、風紀・規律の乱れは、第三師兵団にとってはむしろ好都合なのかもしれない。

[name="凯尔希"] 仔细想想，他们会仅仅只是旁观吗？他们如此冒险，就真的甘愿只是让塔露拉一人操纵一城甚至一国的局势吗？
