8:52 P.M.  天气/多云
p.m.8:52 天候/曇天
8:52 PM \ Cloudy
8:52 p.m.    날씨/흐림

龙门贫民窟
龍門スラム街
Lungmen Slums
용문 슬럼가

[name="黑帮A"]   啧！想活命就告诉我们，鼠王到底在哪儿！？
[name="マフィアA"]   チッ！　命が惜しいなら吐け！　鼠王はどこにいる！？
[name="Mafioso A"]   Tell us where the Rat King is and nobody has to die!
[name="마피아A"]   어이! 살고 싶다면 입 여는 게 좋을 거야. 래트킹은 어디에 있지?

[name="贫民窟居民"]   我、我不知道啊！什么鼠王......真的没听说过啊！
[name="スラム街の住民"]   し、知らない！　鼠王ってなんだよ……。本当に聞いたこともないんだ！
[name="Slum Dweller"]   Wh- what?! What's a Rat King... I don't even know what that is!
[name="슬럼가 주민"]   모, 몰라요! 래트킹이라니…… 들어본 적도 없다고요!

[name="黑帮A"]   敬酒不吃吃罚酒——！
[name="マフィアA"]   テメェ、逆らうと痛い目見るぞ——！
[name="Mafioso A"]   I dare you to say "what" again...!
[name="마피아A"]   하여간 꼭 좋은 말로 하면 입을 안 연다니까!

[name="黑帮B"]   喂，卡彭先生说过不要随便对平民动手......
[name="マフィアB"]   おい、カポネさんはカタギには手を出すなと……。
[name="Mafioso B"]   Hey, Mr. Capone said not to rough up civilians...
[name="마피아B"]   이봐. 카포네 님이 민간인은 건들지 말라고 하셨잖아……

[name="黑帮A"]   这种下三滥的货色能算市民吗？遮遮掩掩的，说不定就是个感染者垃圾！还敢装糊涂！？
[name="マフィアA"]   こんな汚ぇ奴がカタギだと？　コソコソしやがって、ゴミみたいな感染者に決まってる！　その化けの皮をはがしてやろうか！？
[name="Mafioso A"]   Does this piece of shit look like a civilian to you? I bet you're Infected, ain't you, cazzo? You still wanna play dumb?!
[name="마피아A"]   이런 거지 새끼도 민간인으로 치자고? 우물쭈물 거리는 게 감염자 쓰레기일지 어떻게 알아! 래트킹 어딨어! 끝까지 모르는 척 할래?

[name="贫民窟居民"]   等、等等！别打了！我真的不知道啊！！
[name="スラム街の住民"]   ま、待って！　殴らないでくれ！　本当に何も知らないんだ！
[name="Slum Dweller"]   P- please! Don't hurt me! I really don't know anything!
[name="슬럼가 주민"]   자, 잠시만요! 때리지 마세요! 정말 몰라요!!

[name="黑帮A"]   嘴硬！？
[name="マフィアA"]   なんだよ口がかてぇ奴だな！？
[name="Mafioso A"]   Cat got your tongue?!
[name="마피아A"]   입이 좀 무겁네?

[name="贫民窟居民"]   唔——呃，呕——
[name="スラム街の住民"]   うぐっ——ゲホッ、うぅ——。
[name="Slum Dweller"]   Ng... gah... glehh...
[name="슬럼가 주민"]   윽…… 으, 크윽……

[name="黑帮B"]   走吧，别管这家伙了，恶心。
[name="マフィアB"]   行くぞ、こいつはもう放っておけ。胸糞悪ぃ。
[name="Mafioso B"]   C'mon, forget about this one. It ain't worth it.
[name="마피아B"]   가자, 그놈은 내버려두자고. 역겨워 죽겠으니까.

[name="黑帮B"]   看名单，下一个老东西似乎就住在这里不远，是个卖鱼丸的，就在生鲜卖场对面。
