[name="近卫干员"]   是我的错觉，还是天确实越来越暗了？
[name="前衛オペレーター"]   空がさらに暗くなってきているように感じます。気のせいでしょうか･･･。
[name="Guard"]   Is it just me, or is the sky getting darker?

[name="杜宾"]  ......我也希望是你的错觉。
[name="ドーベルマン"]  ああ……気のせいならどんなに良いことか。
[name="Dobermann"]  ...If only it was just you.

[name="杜宾"]  不过我们本来时间就不多。
[name="ドーベルマン"]  しかし、どちらにせよ我々に残された時間は多くはない。
[name="Dobermann"]  We never had much time anyway.

[name="杜宾"]  天灾云的形状比刚才黑压压的一片更加清晰了。
[name="ドーベルマン"]  あの天災雲は先程より暗く、重くなってきているように見える。
[name="Dobermann"]  The shape of the Catastrophe cloud is more clearly defined than the black haze it was before.

[name="杜宾"]  啧，裸眼看着它慢慢在头上凝聚显形，可不是什么好兆头。
[name="ドーベルマン"]  それに……クソッ……少しずつそれらしい形に変化しつつある。正直いって悪い兆しだ。
[name="Dobermann"]  Tsk. I don't like the feeling I get from watching it form over our heads. What a bad omen.

[name="杜宾"]  加上，下城区的每一条街道都可能埋伏着整合运动......
[name="ドーベルマン"]  しかも、この先のダウンタウンにはレユニオンが潜伏している可能性だってある……。
[name="Dobermann"]  To make things worse, Reunion goons might be lurking in every nook and cranny.

[name="杜宾"]  不，这个说法太过保守了。
[name="ドーベルマン"]  いや･･･潜伏なんてなまやさしいものではないな。
[name="Dobermann"]  Actually, that's probably too conservative.

[name="临光"]  该说是，整合运动满满当当的挤在街上。
[name="ニアール"]  レユニオンの連中は、すでに街中に溢れかえっているからな。
[name="Nearl"]  What you should've said is that they're probably partying on the streets.

[name="医疗干员"]  几乎每条街上都有暴徒在搞破坏，抢劫，焚毁交通工具和店铺......
[name="医療オペレーター"]  はい……。街中のあらゆる場所で破壊と強盗を繰り返しています。交通機関や店とかは既にもう……。
[name="Medic"]  Almost every street is filled with destruction, violence and looting. Vehicles and buildings are being set on fire...

[name="医疗干员"]  这帮家伙，是觉得天气太好，所以出来野餐集会吗！
[name="医療オペレーター"]  レユニオンにとっては、こんな天気こそが絶好のピクニック日和のようですね！
[name="Medic"]  But these thugs decide that it's the perfect weather for a picnic!

[name="临光"]  现在跑出来野餐，一定会遭到天灾的无情摧残。
[name="ニアール"]  なに？　こんな状況でピクニックなんてしようものなら天災に蹂躙されるだけだ。
[name="Nearl"]  If they're going out on a picnic now, it's the Catastrophe that will feast upon their bones.

[name="临光"]  这说明大部分整合运动都是些被野蛮冲昏头脑的傻瓜。
[name="ニアール"]  なるほど。連中はそんなことも分からない野蛮で無知な連中ということか。
[name="Nearl"]  This proves that most Reunion members are just fools who've been whipped into a frenzy.

[name="阿米娅"]  ......
[name="アーミヤ"]  ……。
[name="Amiya"]  ...

[name="阿米娅"]   ......噗。
[name="アーミヤ"]   ……プッ。
[name="Amiya"]   ...Pfft.

[name="医疗干员"]   他们不是真的要......野餐啦......
[name="医療オペレーター"]   い、いえっ…本当に彼らがピクニック日和と考えているかは……。
[name="Medic"]   Look, they're not really having a picnic...

[name="医疗干员"]   我，我只是发个牢骚，不是那个意思......
[name="医療オペレーター"]   少し皮肉を言ってみただけですから……。別に本心でそう思っているわけではなくッッ。
[name="Medic"]   I, I just wanted something to moan about. You didn't have to take me so seriously...

[name="临光"]  ——
[name="ニアール"]  ――
[name="Nearl"]  ...

[name="临光"]  这不是个形容吗？难道说这是个包袱？
[name="ニアール"]  敵の分析ではなく、冗談ということか？
[name="Nearl"]  Oh, you weren't being serious？Wait, were you trying to crack a joke?

[name="临光"]  嗯......
[name="ニアール"]  ふむ……。
[name="Nearl"]  Hmm...

[name="临光"]  抱歉，总是在这种时候......
[name="ニアール"]  すまない。私はいつもこんな調子だ……。
[name="Nearl"]  Sorry, I'm not good with this stuff...

[name="医疗干员"]  唔唔唔......没，没事......
[name="医療オペレーター"]  いえいえ……だ、大丈夫です……。
[name="Medic"]  Umm... It's fine...

[name="医疗干员"]  反而是憋笑有点难受......！
[name="医療オペレーター"]  でも、思わず吹き出しそうになってしまいました。
[name="Medic"]  It's just that... trying not to laugh is hard...

[name="医疗干员"]  唔，抱歉......明明是很紧要的时期，我却......
[name="医療オペレーター"]  ご、ごめんなさい……こんなときに私……。
[name="Medic"]  Um, sorry... for trying to make a joke at such a serious time...

[name="阿米娅"]  没关系的。
[name="アーミヤ"]  気にしないでください。私も思わず吹き出してしまいましたから。
[name="Amiya"]  It's okay.

[name="阿米娅"]  我们不是为了让大家都哭丧着脸才建立起罗德岛的。
[name="アーミヤ"]  私たちは皆さんの泣き顔を見るためにロドスを立ち上げたわけじゃありませんから。
[name="Amiya"]  Rhodes Island wasn't founded for the sake of having everyone keep a serious face.

[name="阿米娅"]  罗德岛，本来就希望各位，都能绽放笑容。
[name="アーミヤ"]  ロドスでは皆さんが笑っていられるのが一番です。
[name="Amiya"]  We've always wanted everyone to be able to smile.

[name="医疗干员"]  阿，阿米娅......
[name="医療オペレーター"]  ア、アーミヤさん……。
[name="Medic"]  A-Amiya...

[name="阿米娅"]  没关系的，医生！
[name="アーミヤ"]  ええ、大丈夫ですよ！
[name="Amiya"]  Don't worry about it!

[name="杜宾"]  那我们，就去为侦查工作贡献一份力量吧。
[name="ドーベルマン"]  さて、では私の部隊は威力偵察でロドスに貢献するとしよう。
[name="Dobermann"]  In any case, let's help out with the scouting.

[name="杜宾"]  四点钟方向的敌人，我会安静地处理掉。
[name="ドーベルマン"]  四時方向の敵は我々の小隊が音を立てないように速やかに始末しておく。
[name="Dobermann"]  I'll quietly dispatch the enemy at our four o'clock.

[name="杜宾"]  只要他们体内的病变器官不是什么警报器或爆炸物就行。
[name="ドーベルマン"]  敵が鉱石病で、警報器みたいに派手な爆発をしなければ問題ないだろう。
[name="Dobermann"]  Hopefully their diseased organs won't explode or be rigged to serve as some kind of alarm.

[name="Ace"]  另一侧，游离于据点之外的大批整合运动，就交给我们吧。
[name="Ace"]  逆側の拠点付近に居座った奴らは、私たちに任せてくれ。
[name="Ace"]  We'll wrap around and take care of the large group on the other side of the fortification.

[name="Ace"]  只要杂音够大，就没有人能分辨出里面究竟包含了什么声音。
[name="Ace"]  これだけ騒がしい戦場であれば、誰も何が起きているかは把握できないはずだ。
[name="Ace"]  With this much chaos around us, nobody will notice a little more noise.

[name="杜宾"]  那么，各自行动起来！
[name="ドーベルマン"]  では、各員行動開始だ！
[name="Dobermann"]  All right, let's move out!

