[name="米莎"]   呜唔......
[name="ミーシャ"]   うぐっ……。
[name="Misha"]   Nngh...

[name="能天使"]   她......怎么了？
[name="エクシア"]   この子……どうしたの？
[name="Exusiai"]   What's wrong with her...?

[name="阿米娅"]   这，这是矿石病发作的征兆！
[name="アーミヤ"]   こ、これは鉱石病発作の前兆です！
[name="Amiya"]   It's an acute symptom of Oripathy!

[name="阿米娅"]   啧，才一星期就......！
[name="アーミヤ"]   どうして……たった一週間で……！
[name="Amiya"]   But it's only been a week...!

[name="雷蛇"]   矿石病也有急性的吗？
[name="リスカム"]   鉱石病には急性のものもあるんですか？
[name="Liskarm"]   There's also an acute form of Oripathy?

[name="雷蛇"]   芙兰卡，你是哪种？
[name="リスカム"]   フランカ、あなたはどう？
[name="Liskarm"]   Franka, which type is yours?

[name="芙兰卡"]   怎么，关心我了吗？
[name="フランカ"]   あら、あたしを心配してくれるのかしら？
[name="Franka"]   What, are you concerned about me?

[name="雷蛇"]   阿米娅，如果芙兰卡病逝了，我希望能在罗德岛火化她。
[name="リスカム"]   アーミヤさん、フランカが死んだら、ロドスで盛大に火葬してあげてください。
[name="Liskarm"]   Amiya, if Franka passes away, I hope that Rhodes Island will cremate her.

[name="芙兰卡"]   喂！
[name="フランカ"]   ちょっと！
[name="Franka"]   Hey!

[name="芙兰卡"]   你很过分哦，雷蛇！
[name="フランカ"]   ひどいわよ、リスカム！
[name="Franka"]   That's mean, Liskarm!

[name="雷蛇"]   平时老说要传染我的不是你吗！
[name="リスカム"]   いつもふざけて「いうこと聞かないと鉱石病を移してやるぅ」なんて言ってくるフランカが悪い。
[name="Liskarm"]   You're the one who's always talking about passing the infection on to me!

[name="阿米娅"]   哈，哈哈......
[name="アーミヤ"]   あ、あはは……。
[name="Amiya"]   Aha... Ahaha...!

[name="阿米娅"]   急性和慢性之分，具体回答起来有些复杂......
[name="アーミヤ"]   鉱石病には急性のものと慢性のものがあるんです。説明すると長くなるんですが……。
[name="Amiya"]   The difference between the acute and chronic types is a rather complicated topic.

[name="阿米娅"]   但至少，米莎她的情况，非常危险。
[name="アーミヤ"]   少なくとも、ミーシャさんはとても危険な状態にあります。
[name="Amiya"]   However, Misha's condition is very dangerous.

[name="阿米娅"]   这样下去，在很短的时间内，矿石病就有可能威胁到她的生命。
[name="アーミヤ"]   このままでは、鉱石病が短時間で彼女の生命を脅かすことになると思います。
[name="Amiya"]   If we don't do anything, this condition will become life threatening very quickly.

[name="阿米娅"]   只能先应急处理一下......
[name="アーミヤ"]   今は応急処置をしてあげることしかできませんが……。
[name="Amiya"]   All we can do is give her some emergency treatment...

[name="阿米娅"]   但对米莎的病情进行控制这件事，刻不容缓。
[name="アーミヤ"]   でもミーシャさんの病状を見るに根本的な治療が必要です。
[name="Amiya"]   But we must control Misha's symptoms as quickly as possible.

[name="阿米娅"]   必须向龙门声明这一点。事件平息之后，我们必须把米莎接回罗德岛。
[name="アーミヤ"]   龍門には強く要請したいと思います。ミーシャさんはロドスで治療すると……。
[name="Amiya"]   We have to make this clear to Lungmen. After this ends, we have to bring Misha with us back to Rhodes Island.

[name="阿米娅"]   这是我们对任务目标的责任。
[name="アーミヤ"]   それがここまで連れてきた私たちの責任でもあります。
[name="Amiya"]   This is part of our responsibility.

[name="能天使"]   呃......
[name="エクシア"]   うーん……。
[name="Exusiai"]   Um...

[name="能天使"]   她是不是......快爆了？
[name="エクシア"]   この子は…もう少しで…爆発しちゃいそうに…見えるけど…？
[name="Exusiai"]   Is she... going to explode soon?

[name="能天使"]   唉！疼！为什么要打我......
[name="エクシア"]   うわっ！　痛っ！　どうしていきなり叩くのよ……。
[name="Exusiai"]   Oww! That hurt! Why'd you hit me...

[name="德克萨斯"]   说话注意点。
[name="テキサス"]   言葉には気をつけろ。
[name="Texas"]   Watch your mouth.

[name="能天使"]   呜......
[name="エクシア"]   …はーい……すいません…。
[name="Exusiai"]   Ughh...

[name="芙兰卡"]   如果有一天我快爆了，我一定会努力爬到你身边的。
[name="フランカ"]   もしあたしが爆発するときが来たら、最後の力を振り絞ってあなたの側に行くことにするわ。
[name="Franka"]   If I'm going to explode one day, I'll make sure to crawl up to you.

[name="能天使"]   对不起！芙兰卡小姐！以前多有得罪请原谅我！
[name="エクシア"]   ええっ、そんな。今のナシ！　フランカ様ぁ～！　お願いだから許してよ～！
[name="Exusiai"]   I'm sorry! Miss Franka, please forgive me for everything I've done!

[name="芙兰卡"]   噗。
[name="フランカ"]   やれやれ……。
[name="Franka"]   Pfft...

[name="雷蛇"]   先把目标转移到安全的地区吧。
[name="リスカム"]   ともかく今は先を急ぎましょう――
[name="Liskarm"]   Let's transfer her to a safe place first.

[name="雷蛇"]   顺便，我们后方，发生了些情况。
[name="リスカム"]   ――と言っている側から揉め事のようです…。
[name="Liskarm"]   By the way, we seem to have a situation behind us.

[name="感染者"]   你们要干什么！！滚出去！！
[name="感染者"]   何をするつもりだ！！　出て行け！！
[name="Infected"]   What are you doing? ! Get out! !

[name="整合运动成员"]   大家都是感染者，我们不想动粗！别挡路！
[name="レユニオン構成員"]   俺たちも感染者だ、争いたくない！　道を塞ぐな！
[name="Reunion Member"]   We're all fellow Infected here, don't make us resort to violence! Get out of our way!

[name="感染者"]   你已经毁了我们的家，现在还要把近卫局引过来吗！别想过去！！
[name="感染者"]   お前たちは俺たちの家を壊したばかりか、近衛局までここに呼び込むつもりか！　ここを通れると思うな！！
[name="Infected"]   You've already destroyed our home, and now you're trying to get the L.G.D. here?! Forget it! !

[name="感染者"]   你......！不识时务的家伙，快滚开！！
[name="レユニオン構成員"]   お前ら……！　時代錯誤の化物め、消えろ！！
[name="Infected"]   You little...! You ignorant fool, get out of the way! !

[name="感染者"]   呜啊！
[name="感染者"]   うわぁ！
[name="Infected"]   Argh!!

[name="感染者"]   别逼我们！
[name="レユニオン構成員"]   お前らに指図されるいわれなどない！
[name="Infected"]   Now you've done it!

[name="芙兰卡"]   （要动手吗？）
[name="フランカ"]   （打って出る？）
[name="Franka"]   (Are we going to step in?)

[name="芙兰卡"]   （看来他们是跟丢了。现在动手的话，罗德岛会暴露行踪。）
[name="フランカ"]   （敵はあたしたちのことは見失ったみたいだけど、今出ていけばまた発見されちゃうわね。）
[name="Franka"]   (We seem to have finally lost them. But if we intervene now, we're going to be exposed.)

[name="雷蛇"]   （会不会干扰到任务进程？如果会，后果有多严重？）
[name="リスカム"]   （いま打って出たとして、任務への影響はどれぐらい？）
[name="Liskarm"]   (Is this going to get in the way of our mission? If so, how serious are the consequences going to be?)

[name="芙兰卡"]   （有一定影响，但——）
[name="フランカ"]   （そりゃそれなりに影響は出るでしょうけど、でも――）
[name="Franka"]   (Of course this is going to interfere, but...)

[name="芙兰卡"]   （没有那么严重吧？）
[name="フランカ"]   （手早くやれば、そこまでじゃなはずよね？）
[name="Franka"]   (It won't be that serious, right?)

[name="阿米娅"]   那就干吧。
[name="アーミヤ"]   わかりました。ではやりましょう。時間をできるだけ掛けないように……。
[name="Amiya"]   Let's do it, then.

[name="阿米娅"]   如果条件允许，救助感染者是罗德岛理所当然的任务。
[name="アーミヤ"]   ミーシャさんの様態も気になりますが、条件が許す限り、感染者を助けることもロドスの任務の一つですから。
[name="Amiya"]   Rhodes Island's unequivocal mission to save the Infected, as long as the situation permits.

[name="芙兰卡"]   哼哼，好。
[name="フランカ"]   ふふっ、わかったわ。
[name="Franka"]   Mmhm, good.

[name="芙兰卡"]   果然当初选择跟着你是正确的。
[name="フランカ"]   あなたに付いてきたのは間違いじゃなかったわね。
[name="Franka"]   I knew following you was the right decision.

[name="阿米娅"]   那是什么意思......芙兰卡小姐？
[name="アーミヤ"]   どういう意味ですか……フランカさん？
[name="Amiya"]   What do you mean by that, Miss Franka?

[name="芙兰卡"]   没什么没什么，就是夸夸你！
[name="フランカ"]   なんでもないわ！　気にしないで。
[name="Franka"]   Don't worry, don't worry! I was just complimenting you!

