[name="整合运动"]   动作快！......
[name="レユニオン"]   早くしろ！　……。
[name="Reunion Member"]   Get moving! ...

[name="杰西卡"]   怎么会......
[name="ジェシカ"]   どうして……。
[name="Jessica"]   What's going on...?

[name="霜叶"]   （别出声！）
[name="フロストリーフ"]   （声を出すな！）
[name="Frostleaf"]   (Don't make a sound!)

[name="杰西卡"]   （唔——）
[name="ジェシカ"]   （ううっ――）
[name="Jessica"]   (Nnnh---)

[name="霜叶"]   （他们还在吗？）
[name="フロストリーフ"]   （アイツらはまだそこに？）
[name="Frostleaf"]   (Are they still around?)

[name="陨星"]   （还在......！）
[name="メテオリーテ"]   （まだいるわ……！）
[name="Meteorite"]   (They're still here...!)

[name="陨星"]   （似乎是在找什么东西——）
[name="メテオリーテ"]   （何かを探しているみたい――）
[name="Meteorite"]   (They seem to searching for something...)

[name="陨星"]   （——有一个整合运动，望向我们这边了！撤回掩体！）
[name="メテオリーテ"]   （――こちらを見ているやつが一人いるわ！　隠れて！）
[name="Meteorite"]   (A Reunion member is headed our way! We need to hide!)

[name="整合运动成员"]   ————
[name="レユニオン構成員"]   ――――
[name="Reunion Member"]   ...

[name="整合运动成员"]   是我的错觉吗。
[name="レユニオン構成員"]   …目の錯覚か。
[name="Reunion Member"]   Must be my imagination.

[name="霜叶"]   （能不能狙击他们？）
[name="フロストリーフ"]   （狙撃は？）
[name="Frostleaf"]   (Can you get a clear shot on him?)

[name="陨星"]   （我们与敌人距离太远了......）
[name="メテオリーテ"]   （遠すぎるわね……。）
[name="Meteorite"]   (We're too far away...)

[name="陨星"]   （自从他们出现以后，爆炸声就停止了......）
[name="メテオリーテ"]   （あいつらが現れてから、カモフラージュになっていた爆発音も止んだ……。）
[name="Meteorite"]   (The explosions stopped as soon as they appeared...)

[name="陨星"]   （他们的站位很分散，我不可能一次性消灭全部三个。）
[name="メテオリーテ"]   （あれだけバラバラに立たれると、一発で三人を倒すのも難しそうだし。）
[name="Meteorite"]   (They're too spread out. There's no way I'd be able to take out all three at once.)

[name="陨星"]   （而且那些整合运动的动作，和普通的暴徒有明显的区别。）
[name="メテオリーテ"]   （それにあの動き、普通のレユニオンとは明らかに違う。）
[name="Meteorite"]   (Also, their movements are nothing like those ordinary street thugs.)

[name="杰西卡"]   （其他整合运动，似乎没有那么厚重的装扮。）
[name="ジェシカ"]   （確かに他の構成員は、装備もあんなに充実してません。）
[name="Jessica"]   (The other Reunion troops don't seem to be dressed as heavily.)

[name="陨星"]   （没错。可见，一旦轻举妄动，只要有一个活下来、引来更多的暴徒，我们就危险了。）
[name="メテオリーテ"]   （もし軽はずみに動いて一人でも逃せば、多数の増援を呼ばれて絶対ピンチになるわ。）
[name="Meteorite"]   (That's right. As you can see, we must be extremely careful. If any of them survive and call for reinforcements, we'll be in serious danger.)

[name="陨星"]   （再加上，其中有一个人是术师的装扮，而且正在测试什么的样子。）
[name="メテオリーテ"]   （あと、あの術師っぽい格好のやつ……ここで何かを計測しているみたいね。）
[name="Meteorite"]   (On top of that, I see one person over there in Caster attire, and they seem to be testing something.)

[name="陨星"]   （如果他们同样也有索敌式的法术......）
[name="メテオリーテ"]   （もし、あの中にも索敵型のアーツを使えるやつがいれば……。）
[name="Meteorite"]   (If they're also able to use Detection Arts...)

[name="陨星"]   （在我们的位置射出一发弹药，他们完全有可能感觉得到。）
[name="メテオリーテ"]   （この位置から一発撃っただけで、完全にこちらの位置を把握される危険性だってある。）
[name="Meteorite"]   (They might be able to detect us just based upon a bullet we fire.)

