[name="整合运动成员"]  唔，唔......
[name="レユニオン構成員"]  ぐっ、ぐうっ……。
[name="Reunion Member"]  Nnnng...

[name="煌"]  不好意思啊。
[name="ブレイズ"]  ごめんね。
[name="Blaze"]  I'm sorry.

[name="煌"]  哦，我也不是打了你就不当你是同胞了。
[name="ブレイズ"]  君を殴ったからって、君のことを同胞じゃないと思ってるわけじゃないよ。
[name="Blaze"]  Now, me beating on you doesn't mean we aren't on the same side.

[name="煌"]  ......算了，这话我自己说了都不信。
[name="ブレイズ"]  ……まぁいいや。そんな言葉、自分でも信じられないから。
[name="Blaze"]  Haha! Yeah, no, seriously. It does. We're not on the same side.

[name="煌"]   煌，通报Blaze-4号小队，俘获十数个整合运动成员。
[name="ブレイズ"]   こちらブレイズ。Blaze-4小隊全員に通達、十数人規模のレユニオン構成員を捕えた。
[name="Blaze"]   This is Blaze. Come in, Team Blaze-4. Captured a dozen or so Reunion.

[name="煌"]   有机会的话就来接收，没时间就交给龙门当局了。
[name="ブレイズ"]   余裕があれば回収に来てほしいところだけど、時間がなければ龍門当局に引き渡すよ。
[name="Blaze"]   Come recover them when you can. Otherwise just hand them over to Lungmen.

[name="煌"]   那边的龙门人，把弩放下。没必要那么警戒。
[name="ブレイズ"]   そこの龍門人、そのクロスボウを下ろして。そんなに警戒しなくてもいいから。
[name="Blaze"]   Hey, Lungmenite, do me a favor and lower your crossbows. We're all friends here.

[name="近卫局成员"]  ......
[name="近衛局隊員"]  ……。
[name="L. G. D. Officer"]  ......

[name="煌"]  我是哪里还得不到你们的信任？我甚至救了你们一命。
[name="ブレイズ"]  一体私のどこが信用できないのかな？　君たちの命だって救ってあげたじゃない。
[name="Blaze"]  You still don't trust me? I saved your life.

[name="近卫局成员"]  退后......！我知道，可、可你......感染者......！
[name="近衛局隊員"]  下がれ……！　分かっている。だ、だがお前は……感染者だ……！
[name="L. G. D. Officer"]  Get back...! I mean, y- you're... you're Infected...!

[name="煌"]  哦，是啊。是啊。
[name="ブレイズ"]  うん、そうだね。その通りだよ。
[name="Blaze"]  Yeah. Yeah I am.

[name="煌"]  嘁。
[name="ブレイズ"]  チッ。
[name="Blaze"]  Ugh.

[name="煌"]  博士，走了。
[name="ブレイズ"]  ドクター、行くよ。
[name="Blaze"]  Come on, Doctor.

[Decision(options="......", values="1")]
[Decision(options="……。", values="1")]
[Decision(options="......", values="1")]

[name="煌"]  走了！
[name="ブレイズ"]  行くよ！
[name="Blaze"]  Move!

[name="煌"]  哎，算了。Dr.{@nickname}，过来。别动，这样快点。
