古米是宿舍里第二个醒来的人，她有个习惯。
グムは、ズィマー、イースチナとの三人が暮らす宿舎で二番目に目覚める。彼女には習慣がある。
Gummy is the second one in her dorm to wake up every morning. And she has a habit.

一旦被真理叫醒，她就会握握真理的手，然后用同样的方法到隔壁去叫醒凛冬。
イースチナに起こされると、彼女の手を握り、同じ方法で隣のベッドのズィマーを起こすのだ。
As soon as Istina wakes her, they share a handshake. Gummy then goes next door to wake Zima in the same fashion.

至于凛冬握不握她的手，纯看“冬将军”醒来时的心情。
ただし、ズィマーが彼女の手を握るかどうかは、「冬将軍」が目覚めた時の機嫌次第ではあるが。
Whether "The General" decides to shake her hand or not depends entirely on her mood.

6:30 a.m.
6:30 a.m.
6:30 a.m.

罗德岛宿舍区  真理与古米的宿舍
ロドス宿舎エリア ズィマー、イースチナ、グムの宿舎
Rhodes Island Dormitories - Istina and Gummy’s Room

[name="古米"]  呼......呼......
[name="グム"]  すぅ……すぅ……
[name="Gummy"]  Zzz...zzz...

[name="古米"]  （早上到了。）
[name="グム"]  （朝だ。）
[name="Gummy"]  (It’s morning.)

[name="古米"]  （唔，真理姐应该快来了。）
[name="グム"]  （イースチナお姉ちゃん、そろそろ起こしに来るかな。）
[name="Gummy"]  (Istina should be here soon.)

[name="古米"]  呼......呼......
[name="グム"]  すぅ……すぅ……
[name="Gummy"]  Zzz...zzz...

[name="古米"]  （真理姐今天好慢啊，是最近太累了吗？）
[name="グム"]  （お姉ちゃん、今日は遅いなぁ。疲れてるのかな？）
[name="Gummy"]  (But she sure is taking her time today. Maybe she’s been working too hard?)

[name="古米"]  （但再等下去的话早上勤务就要迟到了，别再等真理姐了，快起来吧古米。）
[name="グム"]  （これ以上待ってたら、朝の仕事に遅刻しちゃうよ。早く起きて、グム。）
[name="Gummy"]  (But I’m gonna be late if I keep waiting for her. C’mon, Gummy, just get up already!)

[name="古米"]  呼......呼......
[name="グム"]  すぅ……すぅ……
[name="Gummy"]  Zzz...zzz...

[name="古米"]  （你做得到的，古米，加油！）
[name="グム"]  （グムならできる、グム、ファイト！）
[name="Gummy"]  (You can do it, girl!)

[name="古米"]  呼......唔唔，嗯。
[name="グム"]  すぅ……ううん、うーん。
[name="Gummy"]  Zzz... Nnhhah!

[name="古米"]  我起来了！
[name="グム"]  よし、起きたよ！
[name="Gummy"]  I’m up!

[name="古米"]  好黑啊。
[name="グム"]  あれ？　暗いなぁ。
[name="Gummy"]  It’s so dark...

[name="古米"]  小夜灯怎么关了？
[name="グム"]  ベッドライト、なんで消えちゃってるの？
[name="Gummy"]  What happened to my night light?

[name="古米"]  真理姐？真理姐！
[name="グム"]  イースチナお姉ちゃん？　イースチナお姉ちゃん！
[name="Gummy"]  Istina? Istina!

[name="古米"]  奇怪，是出门了吗？
[name="グム"]  変だなぁ、出かけたのかな？
[name="Gummy"]  Weird... Did she head out already?

[name="古米"]  过去看看吧。
[name="グム"]  ベッドを見てみよう。
[name="Gummy"]  Better go check on her.

[name="古米"]  ......
[name="グム"]  ……
[name="Gummy"]  ......

[name="古米"]  不在呢。
[name="グム"]  いない。
[name="Gummy"]  Yeah, she’s not here.

[name="古米"]  可能是真的急着出门吧。
[name="グム"]  ホントに急いで出かけちゃったんだ。
[name="Gummy"]  I guess she had something important to do.

[name="古米"]  发生什么了？
[name="グム"]  何かあったのかな？
[name="Gummy"]  I wonder what it was?

[name="古米"]  啊。
[name="グム"]  あっ。
[name="Gummy"]  Oh...

[name="古米"]  这是......
[name="グム"]  書き置きがある……
[name="Gummy"]  What’s this...?

[name="古米"]  “古米，今天有事出门，晚上才回来，自己照顾好自己。”
[name="グム"]  「グム、今日は用事があって出かけます。夜にならないと帰らないので、自分の面倒は自分で見てください。」
[name="Gummy"]  Gummy, we went out. Won’t be back until evening. Please look after yourself.

[name="古米"]  “真理——”
[name="グム"]  「イースチナ――」
[name="Gummy"]  "Signed, Istina..."

[name="古米"]  “——和凛冬。”
[name="グム"]  「――とズィマー。」
[name="Gummy"]  "...and Zima."

[name="古米"]  哼，又把我当小孩子看待，我当然能照顾好自己啦！
[name="グム"]  ふーんだ、またグムを子供扱いして。自分の面倒くらい、言われなくてもちゃんと自分で見られるに決まってるじゃん！
[name="Gummy"]  Hmph! Look at them treating me like a kid again. Of course I can take care of myself!

[name="古米"]  原来凛冬姐也起床了。
[name="グム"]  でも、ズィマーお姉ちゃんも先に起きたんだ。
[name="Gummy"]  That means Zima’s already up too.

[name="古米"]  嗯......
[name="グム"]  そっか……
[name="Gummy"]  Hmm...

[name="古米"]  啊，时候不早了，得赶紧去报道。
[name="グム"]  あ、もうこんな時間！　すぐに行かないと。
[name="Gummy"]  Oops, I better hurry up and report in or I’m gonna be late.

[name="古米"]  平底锅要带好，还有硬梆梆的盾牌......
[name="グム"]  フライパンと、硬いかたーい盾を持って……
[name="Gummy"]  Just gotta grab my trusty shield and frying pan...

[name="古米"]  好，准备完毕。
[name="グム"]  よし、準備完了。
[name="Gummy"]  Right, that’s everything.

[name="古米"]  出发！！
[name="グム"]  出発！！
[name="Gummy"]  Time to go!!

11:28 a.m.
11:28 a.m.
11:28 a.m.

罗德岛食堂   料理区
ロドス食堂 キッチン
Rhodes Island Cafeteria - Kitchen

咕——
ぐー――
*Rumble~*

[name="古米"]  有点饿了啊......
[name="グム"]  お腹空いちゃった……
[name="Gummy"]  I’m kinda hungry...

[name="古米"]  早上走得太急，没来得及填饱肚子。
[name="グム"]  朝は急ぎすぎて、何も食べられなかったし。
[name="Gummy"]  I left in a hurry this morning and didn’t have time to fill up my tummy.

[name="古米"]  还是先专心干活吧，干完就能吃饭了。
[name="グム"]  でもまずは仕事に集中しよう、終わったらご飯だから。
[name="Gummy"]  But I guess I should focus on work first and grab some food afterwards.

[name="古米"]  嗯——
[name="グム"]  よぉし――
[name="Gummy"]  Um...

[name="古米"]  这锅菜好了，请放到取餐区去！
[name="グム"]  この料理できてるよ、受け取り口に持っていって！
[name="Gummy"]  Order up! Ready for the counter!

[name="坚雷"]  来了！
[name="ジュナー"]  よし来た！
[name="Dur-nar"]  On it!

[name="古米"]  下一锅是上汤浇菜吗，好，加油！
[name="グム"]  次の料理は野菜スープだね！　グム、ファイト！
[name="Gummy"]  Gotta do a shchi next? Okay, I’ll have it right out!

[name="古米"]  ......
[name="グム"]  ……
[name="Gummy"]  ......

[name="古米"]  好了！
[name="グム"]  完成！
[name="Gummy"]  Done!

[name="古米"]  这锅菜好了，请放到取餐区去!
[name="グム"]  これもできたよ、受け取り口にお願い！
[name="Gummy"]  Food’s ready! Please take it to the dining area!

[name="古米"]  下一锅是......唔，还有一份油炸肉饺。
[name="グム"]  次の料理は……うーんと、揚げ餃子が一つ。
[name="Gummy"]  Next up is... Mhm, we got another fried pelmeni.

[name="古米"]  那等人来把菜放去取餐区去，回来继续烧个菜，早上的活就算干完啦。
[name="グム"]  じゃああとはこの料理を運んでもらって、もう一つ作れば、朝の仕事は終わりだね。
[name="Gummy"]  Just need someone to take this order, then I crank out the pelmeni and I’m good to go.

[name="坚雷"]  古米，我忙不过来了！你能自己把菜送过去吗！
[name="ジュナー"]  グム、こっちは手が回らないよ！　自分で持って来られる！？
[name="Dur-nar"]  Gummy, I have my hands full over here! Put that out for me?

[name="古米"]  没问题！！
[name="グム"]  わかった！
[name="Gummy"]  Sure thing!

[name="古米"]  嘿咻。
[name="グム"]  よいしょっと。
[name="Gummy"]  Phew...

[name="古米"]  还好，没盾牌重。
[name="グム"]  盾よりも軽いね。
[name="Gummy"]  I got this. It’s way lighter than my shield.

[name="古米"]  是送到哪里呢？
[name="グム"]  どこに持っていけばいいのかな？
[name="Gummy"]  But where does it go?

[name="古米"]  坚雷教官！
[name="グム"]  ジュナー教官！
[name="Gummy"]  Dur-nar!

[name="古米"]  ......
[name="グム"]  ……
[name="Gummy"]  ......

[name="古米"]  坚雷教官？
[name="グム"]  ジュナー教官？
[name="Gummy"]  Dur-nar?

[name="古米"]  奇怪。
[name="グム"]  変だなぁ。
[name="Gummy"]  Weird...

[name="古米"]  今天大家怎么动作都这么快？一回头人就不见了。
[name="グム"]  どうして今日はみんなこんなにそそっかしいんだろ？　気付いたらもういないなんて。
[name="Gummy"]  Why is everyone in such a hurry today? I turn my head for a second and she’s gone...

[name="古米"]  算了，我直接问取餐区的人好了。
[name="グム"]  まぁいいや、直接受け取り口の人に聞いてみよう。
[name="Gummy"]  Oh well, guess I’ll just ask where to put it.

[name="古米"]  应该就是这里了吧，今天负责收银的是——远山姐姐吗？
[name="グム"]  多分ここだよね、今日のお会計担当は――ギターノお姉ちゃん？
[name="Gummy"]  It’s gotta go around here somewhere. The lady at the cash register, that’s... Gitano, right?

[name="古米"]  远山姐姐，您好。
[name="グム"]  ギターノお姉ちゃん、こんにちは。
[name="Gummy"]  Hey, Gitano.

[name="远山"]  中午好，小熊。
[name="ギターノ"]  これはこれは、熊のお嬢ちゃんではないか。
[name="Gitano"]  Good day, Little Cub.

[name="远山"]  你怎么拿着锅子就出来了，要我搭把手吗？
[name="ギターノ"]  何故おぬしが鍋を持って出てくるのじゃ、手伝いは必要かの？
[name="Gitano"]  Why are you out here with your frying pan? Do you need my help?

[name="古米"]  不用了姐姐，您告诉古米应该把菜放到哪里就好，再这样悬着，菜都要凉啦！
[name="グム"]  大丈夫だよお姉ちゃん。この料理をどこに置けばいいか、グムに教えて。このままずーっと持ってたら冷めちゃうよ！
[name="Gummy"]  Just one thing. Could you tell me where to put the shchi? It’s getting cold!

[name="刻俄柏"]  ......
[name="ケオベ"]  ……
[name="Ceobe"]  ......

[name="远山"]  这是上汤浇菜吧，如果我没记错，应该是中间，讯使站着的地方。
[name="ギターノ"]  それは野菜スープじゃな、わらわの記憶が確かならば、真ん中のはずじゃ。あちらのクーリエがおる場所じゃ。
[name="Gitano"]  Shchi, huh? If I recall correctly, it goes there in the middle, where Courier is standing.

[name="古米"]  好叻。
[name="グム"]  わかった、ありがとう！
[name="Gummy"]  Got it!

[name="远山"]  真的不用帮把手吗，小熊？
[name="ギターノ"]  本当に手伝いは必要ないのか、熊のお嬢ちゃん？
[name="Gitano"]  Are you sure you don’t need any help, Little Cub?

[name="古米"]  不用不用，再见远山姐姐。
[name="グム"]  大丈夫だよ。じゃあまたね、ギターノお姉ちゃん。
[name="Gummy"]  I’m perfectly fine! See you later, Gitano!

[name="远山"]  ......
[name="ギターノ"]  ……
[name="Gitano"]  ......

[name="斑点"]  别看了，拿不动的。
[name="スポット"]  こっちを見るなよ、俺には持てないって。
[name="Spot"]  Forget it. You couldn’t lift it anyway.

[name="远山"]  我知道。
[name="ギターノ"]  わかっておる。
[name="Gitano"]  Yes, I know.

[name="讯使"]  欢迎，今天想来点什么？
[name="クーリエ"]  いらっしゃいませ、今日は何を召し上がりますか？
[name="Courier"]  Welcome, what can I get for you?

[name="讯使"]  野菜扣肉，好的，清炒时蔬再加个炖蛋，没问题。
[name="クーリエ"]  野菜肉煮込みと、野菜炒め、茶碗蒸しですね。わかりました。
[name="Courier"]  Braised pork and vegetables? Coming right up. And a steamed egg with your stir-fried vegetables? No problem.

[name="讯使"]  来，请您拿好。
[name="クーリエ"]  どうぞ、ごゆっくり。
[name="Courier"]  All right, here you go.

[name="讯使"]  小心烫。
[name="クーリエ"]  やけどには気をつけてくださいね。
[name="Courier"]  Please be careful. It’s hot.

[name="讯使"]  嗯，再见~
[name="クーリエ"]  はい、ではまたどうぞー。
[name="Courier"]  Mhm, see you~

[name="古米"]  讯使哥哥，菜来了。
[name="グム"]  クーリエお兄ちゃん、料理ができたよ。
[name="Gummy"]  Courier, I got the food!

[name="讯使"]  哦好，谢谢你古米。
[name="クーリエ"]  おっと、ありがとうグムさん。
[name="Courier"]  Great! Thank you, Gummy.

[name="古米"]  不客气~
[name="グム"]  どういたしましてー。
[name="Gummy"]  You’re welcome~

[name="讯使"]  嘿！
[name="クーリエ"]  それっ！
[name="Courier"]  Huff!

[name="讯使"]  喝！好，完工。
[name="クーリエ"]  よっと！　よし、これでオッケーっと。
[name="Courier"]  Phew! That’s all for now.

[name="讯使"]  不好意思古米，能麻烦你把锅带回去吗。
[name="クーリエ"]  グムさん、お手数ですがこの鍋を持っていってもらえますか。
[name="Courier"]  Sorry to bother you, Gummy, but would you mind taking this pot back to the kitchen?

[name="古米"]  好的讯使哥哥。
[name="グム"]  わかった！
[name="Gummy"]  Okay, Courier!

咕噜————
ぐるる――――
*Rumble~~~*

[name="古米"]  唔唔......
[name="グム"]  うう……
[name="Gummy"]  Ughh...

[name="讯使"]  真是辛苦你了，来，哥哥这里有块饼干，拿去垫垫肚子吧。
[name="クーリエ"]  おや……本当にお疲れ様です。よかったらクッキーをどうぞ、小腹の足しにしてください。
[name="Courier"]  You’ve really outdone yourself, Gummy. C’mere, I have a cookie for you. You must be hungry, right?

[name="古米"]  谢谢讯使哥哥！
[name="グム"]  わあ、ありがとう、クーリエお兄ちゃん！
[name="Gummy"]  Thank you very much, Courier!

[name="讯使"]  不客气，记得忙完了以后好好吃饭哦。
[name="クーリエ"]  いえいえ、落ち着いたらしっかりご飯を食べてくださいね。
[name="Courier"]  It’s my pleasure. Make sure to have a proper meal after this, all right?

[name="古米"]  好的！
[name="グム"]  うん！
[name="Gummy"]  Will do!

[name="古米"]  再见远山姐姐，我回去干活了。
[name="グム"]  じゃあキッチンの仕事に戻るよ。またねギターノお姉ちゃん。
[name="Gummy"]  See you later, Gitano. I need to head back and get some stuff done.

[name="远山"]  路上当心。
[name="ギターノ"]  気をつけるのじゃぞ。
[name="Gitano"]  Stay safe.

[name="古米"]  好的！
[name="グム"]  わかった！
[name="Gummy"]  Will do!

咕噜噜————
ぐるるる――――
*Rumble~~~~*

[name="古米"]  （马上就能吃饭了，再忍一小会。）
[name="グム"]  （もう少しでご飯だよ、グム。あとちょっとだけ我慢して。）
[name="Gummy"]  (Just hold out a bit longer... It’s almost time to eat!)

[name="刻俄柏"]  好吃的我来啦！
[name="ケオベ"]  おいしいごはん！
