2:10 P.M.    天气/晴
p.m. 2:10 天気/晴天
2:10 P.M. \ Clear

莱塔尼亚移动城镇沃伦姆德，这座昔日繁华的商业都市如今人迹罕见
リターニア移動市街ウォルモンド。かつては栄えた商業街だが、今は見る影もない。
Wolumonde, Leithania. Once a bustling hub of commerce, this nomadic town is now rarely seen by outsiders.

城镇议事厅
市街議事堂
Rathaus

[name="镇民代表"]  塞弗林·霍索恩长官，你刚才去哪儿了？
[name="住民代表"]  セベリン・ホーソーン憲兵長、どこへ行っていたんですか？
[name="Councilor"]  Schultz Severin Hawthorn, where have you been?

[name="镇民代表"]  决策会的时候你不在场，让我们怎么做决定？
[name="住民代表"]  決議会にあなた不在で、何を決めろというのですか？
[name="Councilor"]  How are we supposed to get anything done in a strategic planning session without you?

[name="塞弗林"]  ......那在你们决定我儿子命运的时候，我在场吗？
[name="セベリン"]  ……では君たちが我が息子の命運を決定したとき、私はその場に居たというのか？
[name="Severin"]  Was I here when you decided my son’s fate?

[name="镇民代表"]  呃......那件事，塔佳娜应该已经......
[name="住民代表"]  あっ……その件は、タチヤナが既に……
[name="Councilor"]  Well... Tatjana should already have...

[name="塞弗林"]  是，告诉我了。让塔佳娜来告诉我的。我只是提醒你们一下你们所做的事。
[name="セベリン"]  ああ、聞いている。君たちがタチヤナを寄越したからな。私はただ君たちの行いを改めて提起しただけさ。
[name="Severin"]  Yes, she told me. You had her tell me. I’m only reminding you what you’ve done.

[name="塞弗林"]  现在情况怎么样？
[name="セベリン"]  状況は？
[name="Severin"]  What’s the situation?

[name="镇民代表"]  ......感染者们仍旧在抗议，他们甚至开始排斥新加入社区的感染者。
[name="住民代表"]  ……感染者たちは未だに抗議を続けています。しかも新たにコミュニティに加わった感染者を排除しようとしています。
[name="Councilor"]  The Infected are still protesting. They’ve even started chasing off Infected newcomers.

[name="塞弗林"]  他们想要什么？
[name="セベリン"]  彼らの目的は？
[name="Severin"]  What do they want?

[name="镇民代表"]  他们......他们认为那场火灾是有人“别有用心”安排的，他们要为安托医生和死去的感染者求个说法。
[name="住民代表"]  彼らは……あの火災は誰かが「意図的に」起こしたものだと主張しています。アント先生と死んでいった感染者のために、納得のいく説明が欲しいと。
[name="Councilor"]  They... they believe the fire was part of some kind of plot. They demand an explanation for Dr. Atro and the dead Infected.

[name="塞弗林"]  ......别有用心，求个说法，很好，有人在煽动他们。
[name="セベリン"]  ……意図的に……説明が欲しい、か。
[name="Severin"]  A plot? An explanation? Great, someone must be riling them up.

[name="塞弗林"]  就算是感染者，他们中的大部分也曾是沃伦姆德的居民，他们不会做出这么低劣的栽赃。
[name="セベリン"]  彼らの多くはウォルモンドの住人だった者たちだ。誇り高きウォルモンドの民ならば、他人に濡れ衣を着せるような低劣な行いはしない。……誰かが彼らを扇動しているのだろう。
[name="Severin"]  Even the Infected wouldn’t stoop that low. Most of them are from Wolumonde.

[name="塞弗林"]  他们有和那些武装可疑分子接触吗？
[name="セベリン"]  彼らが例の不審な武装集団と接触した形跡は？
[name="Severin"]  Have they had any contact with that militant group out there?

[name="镇民代表"]  ......暂时没有。
[name="住民代表"]  ……今の所ありません。
[name="Councilor"]  None, for now.

[name="镇民代表"]  但是，但是那些可疑分子一直在村庄周围徘徊，我担心他们会影响到那些抗议者。
[name="住民代表"]  ですが、あの集団は街の周囲を徘徊し続けています。抗議する者たちに影響を与える可能性も懸念されます。
[name="Councilor"]  But the militants have been lingering around the outskirts of the hamlet. I’m worried they might influence the protestors.

[name="镇民代表"]  等等，是岗哨的联络——
[name="住民代表"]  すみません、見張りからの連絡です。報告してもよろしいですか――
[name="Councilor"]  Just a second, it’s from the sentry—

[name="塞弗林"]  自便。
[name="セベリン"]  構わん。
[name="Severin"]  Go ahead.

[name="镇民代表"]  ......两个人？是感染者吗？
[name="住民代表"]  ……二人？　感染者か？
[name="Councilor"]  Two? Infected?

[name="镇民代表"]  自称罗德岛？我记得这个名字——
[name="住民代表"]  ロドス？　その名前は記憶にある――
[name="Councilor"]  They claim to be from Rhodes Island? I know that name—

