3:59 P.M.    天气/多云
p.m. 3:59 天気/曇り
3:59 PM \ Cloudy

移动城镇沃伦姆德，感染者居住区，十二音街道
移動市街ウォルモンド 感染者居住区 ドデカフォニー通り
Nomadic Town Wolumonde, Infected Quarter, Zwölftontechnik Strasse

[name="铃兰"]  亚叶姐姐......你在生气吗？
[name="スズラン"]  フォリニックお姉さん……怒ってるんですか？
[name="Suzuran"]  Folinic... Are you angry?

[name="亚叶"]  他们的态度意味着什么，我太清楚了......
[name="フォリニック"]  彼らの態度が何を意味するか、はっきりとわかったから……
[name="Folinic"]  The way they were acting, I know what it means. I know it all too well...

[name="亚叶"]  但是，但是安托不会有事的，她比我们任何人都熟悉莱塔尼亚！
[name="フォリニック"]  でも、ううん、アントはきっと無事よ。あの子は私たちの誰よりもリターニアに詳しいんだから！
[name="Folinic"]  But... But Atro wouldn’t get herself into trouble. She knows Leithania better than any of us!

[name="铃兰"]  嗯！安托姐姐一定没事的。
[name="スズラン"]  はい！　アントお姉さんはきっと無事です。
[name="Suzuran"]  Yeah! I’m sure she’s fine!

[name="铃兰"]  但愿......
[name="スズラン"]  無事だと……いいです……
[name="Suzuran"]  At least, I hope...

[name="镇民"]  ......
[name="住民"]  ……
[name="Townsfolk"]  ......

[name="镇民"]  ......
[name="住民"]  ……
[name="Townsfolk"]  ......

[name="铃兰"]  总觉得这附近有点安静得可怕......？
[name="スズラン"]  この辺は静かすぎて怖いくらいですね……
[name="Suzuran"]  Isn’t this place eerily quiet?

[name="亚叶"]  嗯，跟紧点。
[name="フォリニック"]  ええ、しっかりついて来てね。
[name="Folinic"]  Yes. Stay close.

[name="亚叶"]  看上去不光有普通的居民，还有很多感染者，不过这不是重点。
[name="フォリニック"]  普通の住民だけじゃなく、感染者もたくさんいるみたいね。でもそれは別に重要じゃない。
[name="Folinic"]  I’m seeing plenty of Infected among the citizenry, but that’s not the main point.

[name="亚叶"]  刚才阻止那些暴徒的时候我就在想了，这个街道的规模，怎么看都只是普通的街区吧？
[name="フォリニック"]  さっき暴徒たちを抑えてるときに思ったの。このエリアは、規模的には小街って感じよね。
[name="Folinic"]  I was thinking about it when we fought those rioters before. This residential district is pretty ordinary in design, isn’t it?

[name="亚叶"]  只是把感染者们集中起来生活，并没有什么明面上的差别对待。
[name="フォリニック"]  そこにただ感染者たちが集まって生活してるだけで、表面上は非感染者との差別も見られないけど……
[name="Folinic"]  They’ve just gathered up all the Infected to live together. There’s nothing explicitly discriminatory about it.

[name="铃兰"]  嗯......
[name="スズラン"]  はい……
[name="Suzuran"]  Hm...

[name="亚叶"]  但实际上，感染者依旧被约束了人身自由，而且除了那些能够“物尽其用”的感染者，大部分人这辈子和坐牢没什么区别......
[name="フォリニック"]  でも実際は、感染者たちは自由を奪われてるんだと思う。あの「利用価値のある」人たちを除いてね。だってほとんどの感染者は、この小街で一生過ごすんでしょう？
[name="Folinic"]  But the truth is they’re still having their personal freedom restricted. And aside from a few remarkable Infected, most people live more or less like prisoners.

[name="亚叶"]  只不过牢狱变成了一条街道，多了几十倍的狱友罢了。
[name="フォリニック"]  それって、監獄が一つの街に変わって、監獄仲間が何十倍にも増えただけよ。
[name="Folinic"]  What they have is not a prison, but an entire street of cells with a dozen times more inmates.

[name="亚叶"]  看这儿，这家面包店多久没有开过门了？
[name="フォリニック"]  これを見て。このパン屋はどれほど店を開けてないのかしら？
[name="Folinic"]  Look here, how long do you think it’s been since this bakery was open?

[name="铃兰"]  啊......我好像看到源石虫爬过去了......好不卫生啊。
[name="スズラン"]  あ……オリジムシが這ってます……かなり不衛生ですね。
[name="Suzuran"]  Ew... I think I saw an Originium slug crawling around... so unsanitary.

[name="亚叶"]  店门口的灰尘和落叶都没人打扫，这个社区没有在正常运作。
[name="フォリニック"]  入口のチリや落ち葉だって掃除してない、この街がまともに機能してない証拠よ。
[name="Folinic"]  No one's been sweeping up the dust and leaves around the door. There’s no functioning economy here. No daily life.

[name="亚叶"]  虽说是在特殊时期，但街上见不到一个买卖面包的人？公共交通也停摆了，这也太不自然了......
[name="フォリニック"]  特殊な状況にあるとは言え、街にパンを売り買いする人が一人もいないなんてありえないもの。それに公共の交通機関も止まってる。不自然すぎるでしょ……
[name="Folinic"]  I understand they’ve fallen on hard times, but no one wants to buy or sell bread? There’s no public transit? This isn’t normal.

[name="铃兰"]  因为，因为之前的事情？店主被吓走了之类的？
[name="スズラン"]  も、もしかしたら前の事件で店長さんが逃げちゃったとかかもしれません……
[name="Suzuran"]  Maybe, maybe it’s because of what happened before? Like the shop owner got scared off or something?

[name="亚叶"]  但至少他们还有活着的权利，他们——
[name="フォリニック"]  でも彼らには生きる権利があるのよ、彼らにだって――
[name="Folinic"]  At least they have the right to live, they—

[name="铃兰"]  亚叶姐姐......！声音小点！嘘！
[name="スズラン"]  声を落としてください！　シーッ！　フォリニックお姉さん……！
[name="Suzuran"]  Shh! Miss Folinic...! Lower your voice!

[name="镇民"]  ......
[name="住民"]  ……
[name="Townsfolk"]  ......

[name="亚叶"]  ......我没有在指责他们，我只是说......关于“武装感染者”的话题。
[name="フォリニック"]  彼らを責めているわけじゃないわ、ただ……あの「武装感染者」について言ってるだけ。
[name="Folinic"]  I wasn’t criticizing them. I was just talking about... those “armed Infected.”

[name="铃兰"]  他们会是......
[name="スズラン"]  彼らは……
[name="Suzuran"]  Do you think they’re...

[name="亚叶"]  那个宪兵提到了“萨卡兹”，这是首先要确定的事情。
[name="フォリニック"]  あの憲兵は「サルカズ」って言ってたわよね。まずはそれを確かめないと。
[name="Folinic"]  That policeman mentioned “Sarkaz.” We need to look into that first.

[name="亚叶"]  如果真的和我们所知道的“感染者武装组织”有关，我们必须警觉起来。这里的情况也许比那个宪兵说的还要复杂。
[name="フォリニック"]  もしそれが私たちのよく知ってる「感染者武装組織」に関わるものなら、十分に警戒する必要があるわ。ここの状況はもしかすると、あの憲兵が言うよりずっと複雑かもしれない。
[name="Folinic"]  If they do have anything to do with the “armed Infected groups” we know, we’ll have to tread carefully. Things here may be far more complicated than that policeman knows.

[name="铃兰"]  是这样吗？
[name="スズラン"]  えっ、そうなんですか？
[name="Suzuran"]  Really?

[name="亚叶"]  如果感染者的情况够好，那只是因为处境还不够绝望。
[name="フォリニック"]  ええ。ここでは感染者が暮らせているといっても、状況がそこまで絶望的じゃないというだけだから。
[name="Folinic"]  If the Infected are living well enough, it’s only because the situation isn’t desperate enough.

[name="亚叶"]  他们肯定还有事情瞒着我们。
[name="フォリニック"]  やっぱり彼らは、私たちに何か隠してる。
[name="Folinic"]  They must be hiding something from us.

[name="铃兰"]  亚叶姐姐？
[name="スズラン"]  フォリニックお姉さん？
[name="Suzuran"]  Folinic?

[name="铃兰"]  不用那么紧张喔，安托姐姐可是很聪明的。
[name="スズラン"]  そんなに心配しないでください、アントお姉さんはすごく頭がいい方ですから。
[name="Suzuran"]  Please don’t worry. Atro is very smart.

[name="亚叶"]  我......
[name="フォリニック"]  ええ……でも……
[name="Folinic"]  I...

[name="铃兰"]  从刚才开始，亚叶姐姐就一直是很可怕的状态嘛。没关系的。
[name="スズラン"]  さっきから、お姉さんはすごく怖い顔をしてますよ。きっと大丈夫ですから。
[name="Suzuran"]  You’ve been looking very scary since that meeting. But don’t worry.

[name="铃兰"]  只要我们好好努力，就能出色地解决这件事，就像各位干员前辈那样！
[name="スズラン"]  私たちが頑張れば、うまく解決できるはずです。先輩オペレーターさんたちみたいに！
[name="Suzuran"]  As long as we try really, really hard, we’ll be able to handle this, just like the senior operators!

[name="铃兰"]  所以稍微放轻松一点吧？
[name="スズラン"]  だからどうかリラックスしてくださいね？
[name="Suzuran"]  So can you relax for me? At least a bit?

[name="亚叶"]  ......哈，我又被小丽萨安慰了？这是怎么了？
[name="フォリニック"]  ……はぁ、またリサちゃんに励まされちゃったわね。私はいったいどうしちゃったのかしら。
[name="Folinic"]  Aw, is little Lisa comforting me again? Why’s that?

[name="铃兰"]  嘿嘿，烦恼不分大小啦。
[name="スズラン"]  えへへ、悩み事に大人も子供もないですよ。
[name="Suzuran"]  Hehe, let go of all your troubles, big and small!

[name="塔佳娜"]  二位，请稍等——！
[name="タチヤナ"]  お二方、お待ちください――！
[name="Tatjana"]  Doctors, please wait a moment—!

[name="亚叶"]  是你？
[name="フォリニック"]  またあなた？
[name="Folinic"]  It’s you.

[name="亚叶"]  我记得我说过我们不需要帮助，只需要权限就......
[name="フォリニック"]  手伝いは要らないと言ったはずです。調査する許可さえいただければそれで……
[name="Folinic"]  Didn’t I say we don’t need any help? All we need is access...

[name="塔佳娜"]  抱歉，虽然亚叶小姐那么说了，但是毕竟情况特殊，二位人生地不熟的，如果出了什么意外，我们无法承担。
[name="タチヤナ"]  申し訳ありません。状況が状況ですし、お二人ともこちらには詳しくないので、何かあったときのためにと憲兵長が……トラブルが起きてからでは、私たちも責任は負えませんから……
[name="Tatjana"]  I’m sorry. I know you said as much, Miss Folinic, but considering the circumstances, and your unfamiliarity with this place, we have to take precautions to guard against potential accidents.

[name="铃兰"]  ......亚叶姐姐。
[name="スズラン"]  ……フォリニックお姉さん。
[name="Suzuran"]  ...Miss Folinic?

[name="亚叶"]  好吧......如果有本地人在身边，也许这里的居民也不会这么害怕我们了吧。
[name="フォリニック"]  わかりました……現地の方がついていれば、こちらの住民も私たちを怖がらないでしょうし。
[name="Folinic"]  Fine... The locals may be more welcoming if we have one of their own with us.

[name="塔佳娜"]  没错！咳咳！十二音街道原本是沃伦姆德最大的感染者聚集区......
[name="タチヤナ"]  はい、その通りです！　コホン！　ドデカフォニー通りは元々ウォルモンドで最大の感染者居住区です……
[name="Tatjana"]  That’s true! *Cough cough*! Zwölftontechnik Strasse was once Wolumonde’s biggest Infected quarter...

[name="亚叶"]  不过现在因为某些原因，这里也是抗议者最多的地方。
[name="フォリニック"]  ですが今は諸々の事情で、抗議する人の多くがここに集まっているというわけですね。
[name="Folinic"]  And now, for certain reasons, it’s become Wolumonde’s number one protest district.

[name="塔佳娜"]  所以亚叶小姐，现在打算怎么做？
[name="タチヤナ"]  はい。フォリニックさん、今からここで何をされるんですか？
[name="Tatjana"]  Then what do you plan to do now?

[name="塔佳娜"]  其实我并不是很建议深入这里......不过如果您想了解沃伦姆德的现状，这的确是个好选择。
[name="タチヤナ"]  あまりこの場所に深入りするのはオススメできません。まぁウォルモンドの現状をより深く理解するためには、適切な所かもしれませんが……
[name="Tatjana"]  I don’t think it’s wise to go any deeper into this place... But if you want to learn more about the situation in Wolumonde, that is a good choice.

[name="亚叶"]  ......先四处逛逛吧，没必要操之过急。
[name="フォリニック"]  ……まずは一通り回ってみます。そんなに焦ってはいませんから。
[name="Folinic"]  Let’s just go for a stroll here. No need to rush things.

[name="亚叶"]  如果你愿意说点关于安托医生的事情，我会很高兴的。
[name="フォリニック"]  もしあなたがアントについて語ってくれるのなら、それが一番なんですが。
[name="Folinic"]  I’d be very happy if you were willing to tell me more about Dr. Atro.

[name="塔佳娜"]  亚叶小姐......真的很关心安托医生呢。
[name="タチヤナ"]  フォリニックさんは……本当にアント先生のことを気にかけているんですね。
[name="Tatjana"]  You... really worry about Dr. Atro, don’t you?

[name="亚叶"]  她是我的同学，是我为数不多的好友，更是罗德岛不可或缺的成员。
[name="フォリニック"]  彼女は私の同期で、数少ない友人の一人で……何より、ロドスには欠かせない存在ですから。
[name="Folinic"]  We went to school together. And she is one of my very few trusted friends. Not to mention an employee Rhodes Island can’t afford to lose.

[name="塔佳娜"]  ......是吗。
[name="タチヤナ"]  ……そうなんですね。
[name="Tatjana"]  ...I see.

[name="塔佳娜"]  啊，请往这边走，这里是通往秋千广场的路。
[name="タチヤナ"]  あっ、こちらへどうぞ。ブランコ広場に繋がっている道です。
[name="Tatjana"]  Ah, please come this way. Schaukelplatz is just up ahead.

[name="亚叶"]  安托在这里做了什么？
[name="フォリニック"]  アントはここで、医者として働いていたんですか？
[name="Folinic"]  What was Atro doing here?

[name="塔佳娜"]  啊......医治这里的感染者，帮助那些被感染的人做心理辅导。
[name="タチヤナ"]  ええっと、そうです……感染者の治療とカウンセリングなどを行っていました。
[name="Tatjana"]  Um... Treating the local Infected, giving psychological counseling to those who were suffering.

[name="塔佳娜"]  因为天灾信使的失误，沃伦姆德镇没能在大裂谷出现前即时避开，遭到了不小的损失。
[name="タチヤナ"]  天災トランスポーターが、大裂溝の発生を予測できず……避難が遅れたウォルモンドは、大きな被害を受けました。
[name="Tatjana"]  Wolumonde was unable to avoid the Great Rift because of an error the Catastrophe Messengers made, and we suffered immensely for it.

[name="塔佳娜"]  安托医生有机会离开这里，但是她选择了留下。沃伦姆德停泊在现在的位置之后，她建立起了临时医疗据点，为了更好地安置感染者们。
[name="タチヤナ"]  アント先生は、ここを離れる選択もできたはずなのに、残ってくださいました。ウォルモンドが現在の位置に停泊してからは、感染者たちがより安心できるようにと、臨時の医療拠点まで建てられて。
[name="Tatjana"]  Dr. Atro could have left, but she decided to stay. After Wolumonde moored here, she set up a temporary medical facility to better serve the Infected.

[name="塔佳娜"]  安托医生她......被当做这里感染者们的英雄。
[name="タチヤナ"]  アント先生は……感染者たちの英雄だったんです。
