3:23 P.M.    天气/晴
p.m. 3:23 天気/晴天
3:23 P.M. \ Clear

莱塔尼亚境内，移动城镇沃伦姆德外，一棵微不足道的老栎树下
リターニア領内 移動市街ウォルモンド城外 目立たない古いオークの木の下
Underneath a nondescript oak tree, outside the nomadic town of Wolumonde, Leithania

[name="？？？"]  ......
[name="？？？"]  ……
[name="???"]  ......

[name="塔佳娜"]  塞弗林长官......这已经是您今天的第三包烟了。
[name="タチヤナ"]  セベリン憲兵長……もう三箱目です。
[name="Tatjana"]  Schultz Severin... This is your third pack of the day.

[name="塞弗林"]  长官。
[name="セベリン"]  憲兵長、か。今は仕事の時間ではないぞ。
[name="Severin"]  Schultz?

[name="塔佳娜"]  啊，抱歉，伯父......
[name="タチヤナ"]  あ、すみません、伯父さん……
[name="Tatjana"]  Oh, sorry, Uncle...

[name="塞弗林"]  我有依赖烟草的必要。当然，烟草和酒精都是坏东西......你说的对，别学我。
[name="セベリン"]  タバコや酒は身体に悪い。わかっていても頼りたくなる。だが、確かに吸いすぎだな。君は私のようにはなるなよ。
[name="Severin"]  I need my tobacco. You’re right, of course. Alcohol and tobacco are bad habits. Don’t be like me.

[name="塔佳娜"]  但您的咳嗽越来越严重了。
[name="タチヤナ"]  差し出がましいことを言ってすみません。でも、咳がどんどんひどくなってきていますから。
[name="Tatjana"]  But your cough keeps getting worse.

[name="塞弗林"]  没必要这么毕恭毕敬，现在不是工作时间，我和你说过......算了。
[name="セベリン"]  そんなに畏まらなくていい。今は仕事の時間ではないと言っただろう……ふぅ、まあいい。
[name="Severin"]  We’re off the clock. No need to be so formal. How many times have I told you? Never mind.

他望向远处，烧毁的帐篷，肆意生长的野草，他抖了抖烟灰。
彼は遠方を眺めた。焼け焦げたテントと生い茂る野草を尻目に、紫煙を吐き出す。
He looks away. The burned tents, the weeds growing out of control. He flicks the ash from his cigarette.

他本想在独处的时候获得一些安宁，即使只是通过一个称谓的变化。
たとえ、呼び方を変えてもらうだけであっても、プライベートと同じ安らぎを味わいたかった。
He hoped to find some peace and quiet in his solitude, even if it was just a change of his title.

[name="塞弗林"]  唉......他们让你跑这一趟，他们竟然让你来！
[name="セベリン"]  はぁ……それにしても、彼らが君を使いに寄越すとはな。
[name="Severin"]  *Sigh*... They made you come all the way out here!

[name="塞弗林"]  一群老滑头，他们不敢亲自来找我提意见也就罢了，他们还要伤害一个小姑娘——咳咳、咳咳！
[name="セベリン"]  あのたぬき共が。意見しに来る勇気がないだけならまだしも、まさか君のような若い娘に責任を負わせようとするとは――ゴホッ、ゴホゴホッ！
[name="Severin"]  The bunch of old schemers. They won’t even come to me themselves. They send out a little girl to get hurt——*Cough* *cough*, *cough* *cough*!

[name="塔佳娜"]  伯父，别激动！是我自愿的，是我想着至少要亲自告诉伯父......
[name="タチヤナ"]  伯父さん、落ち着いてください！　私は自ら望んで来たんです。私の口から伯父さんに伝えなければと思い……
[name="Tatjana"]  Calm down, Uncle! I volunteered. I thought it would be better to tell you myself.

[name="塞弗林"]  呼——咳咳，咳咳——
[name="セベリン"]  ふぅ――ゴホゴホッ、ゴホッ――
[name="Severin"]  *Wheeze*——*cough* *cough*, *cough* *cough*——

[name="塔佳娜"]  您真的得戒掉烟酒了，您最近的状态很差......
[name="タチヤナ"]  本当にタバコとお酒はやめるべきです。最近は特に調子が悪そうですし……
[name="Tatjana"]  You really have to quit smoking and drinking. Look how bad you’ve gotten...

[name="塞弗林"]  结果我大概已经猜得到了——该死。
[name="セベリン"]  たぬき共がどんな結論を出したかは大体予想がつく――クソッ。
[name="Severin"]  I’ve more or less figured it out. Damn it.

[name="塔佳娜"]  ......嗯，会上讨论得很激烈。不过年轻人都躲在待客室里，谁也不敢发话。
[name="タチヤナ"]  ……会議は熾烈を極めました。若い方たちは皆接客室に逃げ込み、押し黙っていました。
[name="Tatjana"]  Well, there was a heated discussion back in council. The young people hid in the parlor. No one dared to speak.

[name="塔佳娜"]  他们、他们没有人帮我，对不起，只靠我说服不了其他人。
[name="タチヤナ"]  もちろん、私に賛同してくれる方もいませんでした。申し訳ありません、私一人では皆さんを説得することができず……
[name="Tatjana"]  No, no one helped me. I couldn’t convince anyone on my own. I’m sorry.

[name="塞弗林"]  ......自从城镇偏离航线之后情况就紧张了起来。现在不是搞社会实践的时候，学生和年轻人就算发表意见也没人会听。
[name="セベリン"]  ……街が正常な運行ルートを外れた後、状況は緊迫の一途をたどっている。今は若者の社会体験研修などでもないし、学生や若い者たちが発言したとしても、誰も耳を貸さないだろう。
[name="Severin"]  The situation has been tense since the town went off course. We don’t need to be standing on ceremony anymore. Not that anyone would listen to students and kids, even if they did speak up.

[name="塞弗林"]  然后呢？
[name="セベリン"]  それで、結果は？
[name="Severin"]  And then what happened?

[name="塔佳娜"]  镇民代表一致认为，因为无法分辨感染者以及他们的感染情况，为了避免意外......
[name="タチヤナ"]  住民代表も含めて皆さん同じ考えでした。感染の有無やその感染状況を判別することはできないため、万が一に備えて……
[name="Tatjana"]  The councilors agreed that because it was impossible to distinguish between Infected and the state of their infection, it’s better safe than sorry...

[name="塞弗林"]  ......
[name="セベリン"]  ……
[name="Severin"]  ......

[name="塔佳娜"]  尸体必须埋葬在小镇之外，当然也......不允许举办葬礼。
[name="タチヤナ"]  死体は街の外に埋葬し、もちろん……葬儀を執り行うことも許さないと。
[name="Tatjana"]  The bodies need to be buried outside the town. And of course... no funerals.

[name="塞弗林"]  唉......
[name="セベリン"]  そうか……
[name="Severin"]  *Sigh*...

[name="塔佳娜"]  我......我很抱歉......
[name="タチヤナ"]  本当に……申し訳ございません……
[name="Tatjana"]  I... I’m sorry...

[name="塞弗林"]  ......但他们中有人是沃伦姆德的一员，是我们的家人，我们不应该这么简单就抛弃他们。
[name="セベリン"]  ……死者の中にはウォルモンドの一員だった者もいる。彼らは我々の家族だ。そう安々と諦めるべきではない。
[name="Severin"]  But some of them are people of Wolumonde. Our own. We can’t just abandon them.

[name="塞弗林"]  埃克哈德是最好的裁缝，他接过他爹的裁缝店后，镇上几乎每一次婚礼都少不了他。
[name="セベリン"]  エッケハルトは街一番の裁縫家だった。父親の裁縫店を受け継いでから、彼は結婚式で引っ張りだこだった。
[name="Severin"]  Eckehard was the best tailor in town. He took over the shop from his father. We wouldn’t have weddings without him.

[name="塞弗林"]  毕德曼是个可怜人，因为大裂谷的事他丢了天灾信使的工作，但他在努力赎罪。他很坚强。
[name="セベリン"]  ビーダーマンは可哀想な奴だった。だが彼は大裂溝の件で天災トランスポーターの職を追われても、贖罪をしようと努力していた。強い男だった。
[name="Severin"]  And poor Biederman. He lost his job as a Catastrophe Messenger because of the Great Rift. But he’s trying to atone. He is strong.

[name="塞弗林"]  凯文不是感染者，他为了他的妻子尽心尽力，他本来是个好丈夫。
[name="セベリン"]  ケヴィンは非感染者で、妻のために心血を注ぐ本当に素晴らしい亭主だった。
[name="Severin"]  Kevin wasn’t Infected. He worked hard for his wife. He was a good husband.

[name="塞弗林"]  还有托尔瓦尔德，他——咳咳，咳咳——
[name="セベリン"]  そしてトールワルド、奴は――ゴホッ、ゴホゴホッ――
[name="Severin"]  And Thorwald, he——*cough* *cough*, *hack* *cough*——

[name="塔佳娜"]  您不该再抽烟了，长官。托尔也这么说过。
[name="タチヤナ"]  本当に……もうタバコはやめてください、憲兵長。トールさんもそう言っていたじゃないですか。
[name="Tatjana"]  No more smoking, Schultz. Thor even said so.

[name="塞弗林"]  ......你接受吗，孩子？实话实说，别管那些老滑头的想法。
[name="セベリン"]  ……そう言うが、君は受け入れられるのか？　思ったことを素直に言いなさい、あのたぬき共の思惑に流されずに。
[name="Severin"]  Can you accept it, child? Honestly? Forget what the old schemers think.

[name="塔佳娜"]  我......我不知道。
[name="タチヤナ"]  私は……わ……わかりません。
[name="Tatjana"]  I... I don’t know...

[name="塔佳娜"]  但我只想托尔能入土为安，而不是在死后还要被当做危险品......被小心翼翼地处理，被风吹雨打......
[name="タチヤナ"]  ですが、トールさんには安らかに眠ってほしいです。死後も危険物扱いされて、葬儀もなく街の墓にも入れないまま、ただ埋められるなんて……
[name="Tatjana"]  I just want Thor to be buried so he can rest in peace. I don’t want people treating him like he’s a threat when he’s already dead... to be tossed out there... to the elements.

[name="塞弗林"]  ......好吧。
[name="セベリン"]  ……そうだな。
[name="Severin"]  Alright.

[name="塔佳娜"]  为什么我们要这么对待他们？过去，过去不是这样的。
[name="タチヤナ"]  どうしてこんな扱いをされなければいけないんですか？　昔は、昔はこうではありませんでした。
[name="Tatjana"]  Why do we have to treat them like that? We never did anything like that before.

[name="塔佳娜"]  还有那位矿石病医生。她很了不起，没有抛弃沃伦姆德，这四个人都有权利得到体面的下葬，但是——
[name="タチヤナ"]  あの鉱石病医も……彼女は素晴らしい方でした。最後までウォルモンドを見捨てなかった。あの四人には、皆立派な葬儀を挙げてもらう権利があるんです、それなのに――
[name="Tatjana"]  And that Oripathy doctor. She was incredible. She refused to abandon Wolumonde. All four of them have the right to a decent burial, but——

[name="塞弗林"]  就因为感染者和他们一起——
[name="セベリン"]  感染者が彼らと共にいたせいで――
[name="Severin"]  Putting them together with the Infected——

[name="塔佳娜"]  ......该责怪的是这场火灾。
[name="タチヤナ"]  ……責めるべきは感染者ではありません。今回起きた火災です。
[name="Tatjana"]  We should just be blaming the fire.

[name="塞弗林"]  我明白。
[name="セベリン"]  わかっている。
[name="Severin"]  I know.

[name="塞弗林"]  但是......但是这件事得延后，现在还不能抛弃他们的遗体。
[name="セベリン"]  ……彼らを弔うのはまだ先だ。今はとにかく、遺体が街の外に埋められることを避けなければ。
[name="Severin"]  But... But let’s save that for later. For now, we can’t just dump their remains.

[name="塞弗林"]  我联系了最近的宪兵队，他们会在救援队里增派专业人士协助调查，在那之前，尸体都得保存在我照顾得到的地方。
[name="セベリン"]  最も近くにいる憲兵隊に連絡を入れた。彼らは専門家を含む救援隊を寄越して、調査を行うだろう。それまでは、死体は私の目の届くところに安置しておかなければならない。
[name="Severin"]  I contacted the nearest Gendarmerie, and they will have experts on the rescue team to assist with the investigation. Until then, we’ll keep the bodies where I can care for them.

[name="塞弗林"]  只要有专门人士在，我们就可以更合理地对待死者。
[name="セベリン"]  専門家がいさえすれば、彼らを街の外に捨てることなく、適切に埋葬してやることができる。
[name="Severin"]  Once we have specialists on scene, we can treat the dead with appropriate care.

[name="塔佳娜"]  最近？我们还能得到救援......？
[name="タチヤナ"]  最も近く？　救援が期待できるんですか？
[name="Tatjana"]  We can still get help?

[name="塞弗林"]  “最近”。他们可能要一个月——视那条裂缝的具体长度，可能要好几个月。
[name="セベリン"]  ああ。だがここまで来るのに一ヶ月ほどはかかるだろう。いや、大裂溝の範囲によっては、数ヶ月を要するかもしれん。
[name="Severin"]  They could be a month out, depending on the exact length of the rift. It could honestly be several months.

[name="塔佳娜"]  沃伦姆德在脱离原本航线以后情况一天比一天糟糕，大家都说我们得绕过大裂谷往回走，回到正常的航线。
[name="タチヤナ"]  大裂溝のせいで……あまりここで時間を取られすぎると……
[name="Tatjana"]  Wolumonde is getting worse and worse every day now that we’re off course. Everyone is saying we’ll have to head around the whole Great Rift to get back on track.

[name="塔佳娜"]  不过越过大裂谷要绕的路也太远了，拖得时间太久的话......
[name="タチヤナ"]  憲兵長が仰ったように、ウォルモンドが本来の運行ルートを外れてから、状況は刻一刻と悪化しています。皆、いち早く正常なルートに復帰する必要があると言っています。
[name="Tatjana"]  But if the Great Rift is that big, if the detour is too long...

[name="塞弗林"]  ......总之，先等等。
[name="セベリン"]  ……とにかく、今は待ってくれ。
[name="Severin"]  Anyway, we have to wait.

[name="塞弗林"]  让我和托尔多呆一会，我......我有这个权利。
[name="セベリン"]  私とトールをしばらく一緒にいさせてくれないか。私には……その権利があるはずだ。
[name="Severin"]  Give me a minute with Thor. I think... I think I’m entitled to that.

[name="塞弗林"]  如果那些老滑头要把我的孩子扔在沃伦姆德之外的荒郊野岭上，就让他们对着他们的士官长开火。
[name="セベリン"]  もしあのたぬき共が、私の息子をどうしても今すぐウォルモンド外の荒野に打ち捨てると言うなら、その前に、憲兵長へ向けて引き金を引けと言ってやれ。
[name="Severin"]  If the old schemers want to leave my boy in the middle of nowhere, they’ll have to shoot their own Schultz.

[name="塞弗林"]  对着我，开火。
[name="セベリン"]  ――そう、私へ向けてな。
[name="Severin"]  They’ll have to shoot me.

[name="塔佳娜"]  不会的！大家都清楚您对城镇的付出，不至于......不至于的！
[name="タチヤナ"]  そ、それはありません！　皆さん伯父さんが街のためにやってきたことは知っています。いくらなんでも、そんなことは……そんなことは絶対にしません！
[name="Tatjana"]  They won’t! We all know how much you’ve done for the town!

[name="塞弗林"]  ......不，忘了吧。
[name="セベリン"]  ……いや、今のは忘れてくれ。
[name="Severin"]  …No, forget I said that.

[name="塞弗林"]  在这种情况下，我不能说这种话......士官长不能说这种话。我们应该公事公办。
[name="セベリン"]  言うべきではなかった……憲兵長にあるまじき言葉だ。我々は私情にとらわれるべきではない。
[name="Severin"]  I can’t say that at a time like this. The Schultz can’t talk like that. We have work to do.

[name="塔佳娜"]  可托尔毕竟是您的儿子......！
[name="タチヤナ"]  ですが、トールさんは伯父さんの息子なのに……！
[name="Tatjana"]  But Thor is still your son!

[name="塞弗林"]  塔佳娜，你回去告诉他们吧。就说——
[name="セベリン"]  タチヤナ、戻って彼らに伝えてくれ。私が――
[name="Severin"]  Tatjana, you go back and tell them. Tell them...

[name="塞弗林"]  就说......
[name="セベリン"]  私が……
[name="Severin"]  Tell them...

[name="塞弗林"]  就说我同意了、咳、我同意了。
[name="セベリン"]  私が同意したと。ゴホッ、そうだ、私が同意したとな。
[name="Severin"]  Tell them I agree. *Cough*. I agree with them.

[name="塞弗林"]  咳咳，咳咳咳——
[name="セベリン"]  ゴホッ、ゴホゴホッ――
[name="Severin"]  *Cough* *cough* cough*, *cough* *cough*——

[name="？？？"]  ......
[name="？？？"]  ……
[name="???"]  ......

[name="武装的感染者"]  队长，他们回来了。
[name="武装した感染者"]  隊長、彼らが戻って来た。
[name="Armed Infected"]  They came back.

[name="？？？"]  ......嗯。
[name="？？？"]  ……ああ。
[name="???"]  Hm.

[name="武装的感染者"]  多亏了这些本地人，我们才能混进附近的城镇里补充资源......
[name="武装した感染者"]  近くの街に潜入し資源の補給ができるのも、彼ら現地住民たちのおかげだ……
[name="Armed Infected"]  Thanks to the locals, we were able to slip into the nearby town and replenish our supplies.

[name="武装的感染者"]  猎人小队也快回来了，但愿今天能有所收获。我已经吃了两天沙虫了。
[name="武装した感染者"]  狩猟隊ももうすぐ戻ってくるだろう。今日は何か収穫があると良いんだけどな、もう二日も砂虫しか食べてない。
[name="Armed Infected"]  The hunters will be back soon. Hope we get something today. I’m sick of sandworms. Two days is enough.

[name="？？？"]  ......嗯。
[name="？？？"]  ……ああ。
[name="???"]  Hm.

[name="？？？"]  ......水源呢？
[name="？？？"]  ……水源は？
[name="???"]  How about water?

[name="武装的感染者"]  没问题。也多亏了那些家伙。
[name="武装した感染者"]  問題ない。それも彼らのおかげだ。
[name="Armed Infected"]  Not an issue. Gotta thank them for that too.

[name="武装的感染者"]  ......不过说真的，我和他们不是很聊得来。总觉得会被他们小瞧。
[name="武装した感染者"]  ……彼らは私たちの役に立ってくれている。だが本当のところ、彼らと上手く交渉できているとは思えないな。甘く見られているような気すらしてくる。
[name="Armed Infected"]  But seriously, I don’t like talking to them. I always feel like they’re looking down on me.

[name="？？？"]  ......嗯。
[name="？？？"]  ……ああ。
[name="???"]  Hm.

[name="武装的感染者"]  看样子沃伦姆德近期就打算重新开始迁移，我们必须在那之前得到一个结果。
[name="武装した感染者"]  見たところ、ウォルモンドは近い内に移動を始めるようだ。それまでに何か手を打たないと。
[name="Armed Infected"]  It looks like Wolumonde is going to start migrating again soon. We have to see some results by then.

[name="？？？"]  ......我们有帮手，会有个好结果的。
[name="？？？"]  ……我々には助っ人がいる。大丈夫だ。
[name="???"]  We have help. It will be good.

[name="武装的感染者"]  帮手吗......也许吧。
[name="武装した感染者"]  助っ人……そうかもしれないが――
[name="Armed Infected"]  Help...? Maybe.

[name="武装的感染者"]  但我信不过这些本地人，这些感染者......他们只是单纯的想要报复。
[name="武装した感染者"]  やはり、現地住民はどうも信用できない。あの感染者たちは……ただ単に復讐がしたいだけじゃないのか。
[name="Armed Infected"]  But I don’t trust the local Infected. They’re just out for revenge.

[name="武装的感染者"]  莱塔尼亚对待感染者的态度温和得多，既然源石技艺普及率如此之高，这些感染者有什么理由被畏惧被迫害？
[name="武装した感染者"]  リターニアは感染者に対してかなり寛容的だし、アーツの普及率も高い。つまりあの感染者たちが恐れられ、迫害される理由はないんだ。それなのに、どうして復讐を考える？
[name="Armed Infected"]  Leithania is better to the Infected than most places are. And since everyone here uses Arts, they don’t have much reason to fear or persecute them.

[name="武装的感染者"]  而事实上，在这里的感染者至少还能物尽其用，不用被立刻送上绞刑架，这还不够吗？
[name="武装した感染者"]  ここの感染者は少なくとも普通に暮らせているし、すぐに絞首台に送られることもない。それなのに、まだ不満だと言うのか？
[name="Armed Infected"]  And isn’t it enough that the Infected can have a decent life here without being sent straight to the gallows?

[name="武装的感染者"]  我看他们只是一群别有用意的暴徒，想利用我们的名号——
[name="武装した感染者"]  俺は、奴らは下心を持った暴徒ではないかと感じてる。もしかしたら奴らは、俺たちの名前を利用して――
[name="Armed Infected"]  I think they’re just a bunch of thugs, stealing our name for their own purposes—

[name="？？？"]  名号？
[name="？？？"]  名前？
[name="???"]  Name?

[name="？？？"]  ......名号，又算什么？
[name="？？？"]  ……名前が、何になる？
[name="???"]  What’s in... a name?

[name="武装的感染者"]  呃......
[name="武装した感染者"]  えっ……
[name="Armed Infected"]  Erm...

[name="？？？"]  不信任......这没问题，所以......那我们要信任谁？该信任谁？
[name="？？？"]  彼らを信じない……それは構わない。では……我々は誰を信じる？　誰を信じるべきなのだ？
[name="???"]  We don’t trust them... fine. But... who do we trust? Who should we trust?

[name="武装的感染者"]  别老是说这么吓人的话啊，我当然听你的，队长。
[name="武装した感染者"]  毎度毎度、そんな怖いことを言わないでくれ。俺はあんたのことを信じるよ、隊長。
[name="Armed Infected"]  Can you stop talking so creepily? Whatever you say, captain.

[name="？？？"]  ......谢谢。
[name="？？？"]  ……ありがとう。
[name="???"]  ...Thank you.

[name="？？？"]  啊，有落叶，落在你头上了......
[name="？？？"]  ああ、落ち葉が、君の頭に……
[name="???"]  Oh, a leaf. It fell on your head...

[name="武装的感染者"]  呃，什么？
[name="武装した感染者"]  えっ、落ち葉？
[name="Armed Infected"]  Huh? What?

[name="？？？"]  几箱干肉，捡来的水果，水源。现在是初秋，离入冬还有很久......
[name="？？？"]  干し肉が数箱と、拾い集めた果実、水源。今は初秋だ、冬までにはまだ時間がある……
[name="???"]  A few boxes of dried meat. Fresh-picked fruit. Water. It’s early autumn. Still a long way to winter...

[name="？？？"]  我们还有时间。
[name="？？？"]  そう、我々には時間が残されている。
[name="???"]  We have time.

