8:52 P.M.  天气/多云
p.m.8:52 天候/曇天
8:52 PM \ Cloudy

龙门贫民窟
龍門スラム街
Lungmen Slums

[name="黑帮A"]   啧！想活命就告诉我们，鼠王到底在哪儿！？
[name="マフィアA"]   チッ！　命が惜しいなら吐け！　鼠王はどこにいる！？
[name="Mafioso A"]   Tell us where the Rat King is and nobody has to die!

[name="贫民窟居民"]   我、我不知道啊！什么鼠王......真的没听说过啊！
[name="スラム街の住民"]   し、知らない！　鼠王ってなんだよ……。本当に聞いたこともないんだ！
[name="Slum Dweller"]   Wh- what?! What's a Rat King... I don't even know what that is!

[name="黑帮A"]   敬酒不吃吃罚酒——！
[name="マフィアA"]   テメェ、逆らうと痛い目見るぞ——！
[name="Mafioso A"]   I dare you to say "what" again...!

[name="黑帮B"]   喂，卡彭先生说过不要随便对平民动手......
[name="マフィアB"]   おい、カポネさんはカタギには手を出すなと……。
[name="Mafioso B"]   Hey, Mr. Capone said not to rough up civilians...

[name="黑帮A"]   这种下三滥的货色能算市民吗？遮遮掩掩的，说不定就是个感染者垃圾！还敢装糊涂！？
[name="マフィアA"]   こんな汚ぇ奴がカタギだと？　コソコソしやがって、ゴミみたいな感染者に決まってる！　その化けの皮をはがしてやろうか！？
[name="Mafioso A"]   Does this piece of shit look like a civilian to you? I bet you're Infected, ain't you, cazzo? You still wanna play dumb?!

[name="贫民窟居民"]   等、等等！别打了！我真的不知道啊！！
[name="スラム街の住民"]   ま、待って！　殴らないでくれ！　本当に何も知らないんだ！
[name="Slum Dweller"]   P- please! Don't hurt me! I really don't know anything!

[name="黑帮A"]   嘴硬！？
[name="マフィアA"]   なんだよ口がかてぇ奴だな！？
[name="Mafioso A"]   Cat got your tongue?!

[name="贫民窟居民"]   唔——呃，呕——
[name="スラム街の住民"]   うぐっ——ゲホッ、うぅ——。
[name="Slum Dweller"]   Ng... gah... glehh...

[name="黑帮B"]   走吧，别管这家伙了，恶心。
[name="マフィアB"]   行くぞ、こいつはもう放っておけ。胸糞悪ぃ。
[name="Mafioso B"]   C'mon, forget about this one. It ain't worth it.

[name="黑帮B"]   看名单，下一个老东西似乎就住在这里不远，是个卖鱼丸的，就在生鲜卖场对面。
[name="マフィアB"]   名簿だと、次のジジィがいるところはそう遠くない。魚団子を売ってやがるってよ。生鮮売り場の向かいだとさ。
[name="Mafioso B"]   Checking our list, looks like the next lucky contestant is some poor finball hawker. Lives right around here.

[name="黑帮A"]   嘁，浪费时间。
[name="マフィアA"]   チッ、時間の無駄だった。
[name="Mafioso A"]   Sounds like a waste of time.

[name="贫民窟居民"]   咕，哈啊——骨头都断了，这帮——该死的——下手真重，嘎哈！
[name="スラム街の住民"]   ぐ、はぁ——骨まで折れちまったじゃないか。あの——クソが——容赦なくやりやがって、がはっ！
[name="Slum Dweller"]   Gah... aaagh! They broke... my arm... those sons of...

[name="贫民窟居民"]   必须得......告诉他们......
[name="スラム街の住民"]   絶対に……彼らに伝えなければ……。
[name="Slum Dweller"]   I have to... tell them...

[name="黑帮A"]   那边的，站住。
[name="マフィアA"]   そこの奴、止まれ。
