10:26 P.M.    天气/多云
p.m.10:26 天候/曇天
10:26 PM \ Cloudy

日落大道，“大地的尽头”酒吧
サンセット通り バー「大地の果て」
Sunset Boulevard, "The Ends of the Earth" lounge

[name="可颂"]   那老板，这瓶酒又是哪一年的？
[name="クロワッサン"]   ボス、この酒、何年もんか当てれるん？
[name="Croissant"]   Say baws, what year's this vintage?

[name="大帝"]   嗯哼，沉淀的色泽，悠久的香气，后觉的甜味，绵长的口感，这是——
[name="エンペラー"]   ウェッホン、んーこの沈殿した色合い、ふくよかな香り、後から感じる甘み、長く続く味わい、これこそは——。
[name="Emperor"]   Hmm, maderized coloring, lively aroma, robust flavor, velvety texture, this is...

[name="大帝"]   上个月在超市买来的便宜酒。
[name="エンペラー"]   いや、先月スーパーで買った安酒だろうがっ！
[name="Emperor"]   Last month. A forty of malt liquor from the corner store.

[name="可颂"]   十猜十中哎，不愧是自称龙门第一的品酒师！
[name="クロワッサン"]   当たり～。百発百中や。流石は自称「龍門一の利き酒師」やな！
[name="Croissant"]   Perfect scores up and down, baws! That's why they call ya Lungmen's self-proclaimed number one sow-mel-eer!

[name="大帝"]   呸，说了多少遍了，这是储备武器，不是用来喝的！空！
[name="エンペラー"]   オイ、何度言わせんだよ。コイツはな、飲むためじゃなくて予備の武器として買ってあんだよ。ソラ！
[name="Emperor"]   *Pfft* How many times do I gotta tell you? This is a reserve weapon. It ain't for drinking! Sora!

[name="空"]   好好好，这是漱口水。
[name="ソラ"]   はいはーい。お口直しどうぞ。
[name="Sora"]   Okay, okay, here's your mouthwash.

[name="可颂"]   欸......用炎国黄酒漱口吗......
[name="クロワッサン"]   うわっ……。炎国の黄酒なんかで口直しするんかい……。
[name="Croissant"]   Um... did ya mean to wash yer mouth with Yan huangjiu...?

[name="德克萨斯"]   酒精的确可以消毒，吧台下面有工业酒精，能凑合。
[name="テキサス"]   アルコールは確かに消毒できるからな。バーテーブルの下に工業用アルコールがあるから、それでも代用できるかもな。
[name="Texas"]   Alcohol is a disinfectant. There's industrial alcohol under the bar. That would do the trick.

[name="可颂"]   算了，有这个钱，不如买点别的好啦，花钱的精髓就在于过程，过程！和金额无关！
[name="クロワッサン"]   こら、アカンわ。こんな金があるんやったら、もっと別なん買うた方がええわ。散財っちゅーもんの真髄は、使い方にあるんや。使い方にな。金額の大小は関係あらへん。
[name="Croissant"]   S'all good. We got money so we might as well spend it. It's all in the process, y'know? Ain't the amount. It's the process of spending!

[name="能天使"]   各位，苹果派烤好了！派对开始啦！
[name="エクシア"]   みんな～、アップルパイが焼けましたーっ☆パーティーのスタートだよ！
[name="Exusiai"]   Everybody, the apple pie's ready! It's time to party!

[name="可颂"]   哦~是能天使姐亲手烤的派！
[name="クロワッサン"]   おーっ！　エクシアはんお手製のパイやな！
[name="Croissant"]   Oooh~ Exusiai's homemade apple pie!

[name="大帝"]   干杯！
[name="エンペラー"]   乾杯！
[name="Emperor"]   Bottoms up!

[name="空"]   ......虽然不知不觉就变成这样了，但这是什么派对来着？
[name="ソラ"]   気づいたら始まっちゃったけど、何のためのパーティーだっけ？
[name="Sora"]   ...so like, what exactly are we partying for?

[name="能天使"]   嗯？拜松的欢迎会呀。
[name="エクシア"]   ん？　バイソンくんの歓迎会だよ。
[name="Exusiai"]   Huh? It's Bison's welcome party.

[name="空"]   ......那拜松本人呢？
[name="ソラ"]   ……そのバイソンくん本人は？
[name="Sora"]   ...so like, where's Bison?

[name="能天使"]   嗯！不知道！
[name="エクシア"]   ん～！　どこだろうね！
[name="Exusiai"]   Um! I dunno!

[name="大帝"]   那就换个借口，我们永远不缺借口。
[name="エンペラー"]   なら名目を変えりゃいい。俺らに名目なんて事欠かねぇからな。
[name="Emperor"]   Then pick another reason. We always got a reason to party.

[name="拜松"]   ......你们在做什么？
[name="バイソン"]   ……皆さん、何してるんですか？
[name="Bison"]   ...What are you guys doing?

[name="可颂"]   呃。在等你开派对，吧。
[name="クロワッサン"]   お、待っとったで。もっちろん、アンタの歓迎パーティーに決まっとるやろ。
[name="Croissant"]   Awright. Here's the guest of honor himself.

[name="大帝"]   啊，欢迎来到大地的尽头。
[name="エンペラー"]   来たか。「大地の果て」へようこそ。
[name="Emperor"]   Hey. Welcome to The Ends of the Earth.

[name="大帝"]   迟到罚酒三杯，主角迟到翻三倍，但你不能喝酒，所以汽水九杯，请。
[name="エンペラー"]   この店じゃあ、遅刻した者は罰として酒を三杯、主役が遅れたら更にその三倍。ま、でもお前ぇは酒が飲めないから、ソーダを九杯ってところだ。さぁ。
[name="Emperor"]   You're late. That's three shots. Guest of honor drinks triple, but you can't drink. So that's nine sodas. Drink up.

[name="拜松"]   为什么要叫这个名字......
[name="バイソン"]   この店って、なんでこんな名前なんですか？
[name="Bison"]   Why is it called The Ends of the Earth?

[name="拜松"]   （还有这个装修风格，好闪亮.....为什么还有企鹅......这是某种朋克艺术吗......？）
[name="バイソン"]   （それからこの内装、凄くまぶしい……。そしてなぜにその上にペンギンが……一種のパンクアートなのかな……？）
[name="Bison"]   (And the decor is so gaudy... And what's with the penguin... is this some kind of punk thing...?)

[name="能天使"]   别傻站着了，快进来，这可是你的欢迎派对，要不要苹果派？
[name="エクシア"]   ぼーっと立ってないで、早くおいで。これキミの歓迎パーティーなんだからさ。アップルパイはいかが？
[name="Exusiai"]   Don't just stand there with your tongue hanging out. This is your welcome party! Apple pie?

[name="拜松"]   ......不了。
[name="バイソン"]   ……結構です。
[name="Bison"]   ...No thanks.

[name="拜松"]   原来在我和莫斯提马小姐对付那些黑手党的时候，你们却在这里开派对。
