0:38 P.M.    天气/沙尘
a.m.0:38 天候/砂嵐
00:38 AM \ Dusty

龙门市区，广场，露天派对
龍門市街 広場 屋外パーティー会場
Downtown Lungmen, Plaza, Outdoor Party

[name="拜松"]   虽然我们跟着指示过来了，但为什么......是个露天派对？
[name="バイソン"]   指示の通り来ましたけど、なんで……屋外パーティー？
[name="Bison"]   We followed the directions all the way but why is... is that a block party?

[name="能天使"]   看到那个蜡烛了没！好大！
[name="エクシア"]   あのロウソク見える！？　でっかーい！
[name="Exusiai"]   Check out that candle! It's huge!

[name="德克萨斯"]   能天使，安静一点。
[name="テキサス"]   エクシア、もう少し静かに。
[name="Texas"]   Settle down, Exusiai.

[name="德克萨斯"]   空气里甜味太重了，稍微有点不舒服。
[name="テキサス"]   空気に甘ったるい匂いが充満しているな、少し気分が悪い。
[name="Texas"]   The air smells so sickly sweet, I feel like I want to puke.

[name="可颂"]   嗯......要是下次在这里申请一个摊位的话，应该会大赚的吧。
[name="クロワッサン"]   うーん……もしここに店でも出しよったら、大儲けできるかもしれへんなぁ。
[name="Croissant"]   Mmm... we oughta get ourselves a booth here next time. I bet we'd make a bundle!

[name="空"]   德克萨斯，老板有消息吗？
[name="ソラ"]   テキサスさん、ボスから連絡は？
[name="Sora"]   Texas, have you heard from the boss?

[name="德克萨斯"]   暂时没有，也许他就在哪里酩酊大醉吧。
[name="テキサス"]   今のところはない。どこかで酔いつぶれてるのかもしれないな。
[name="Texas"]   Not yet. He's probably passed out drunk somewhere.

[name="德克萨斯"]   ......能天使，把我头上的东西摘下来。
[name="テキサス"]   ……エクシア、私の頭に乗ってるこれを取ってくれ。
[name="Texas"]   Exusiai, can you get this thing off my head?

[name="能天使"]   为什么嘛！
[name="エクシア"]   えっー、なんでよ！
[name="Exusiai"]   Why!

[name="能天使"]   我可是因为这盏日光灯，根本没有办法戴这种高高的派对帽喔？我很羡慕的喔？
[name="エクシア"]   私なんか、こんなノッポなパーティーハットは全然かぶれないんだからね、この頭の蛍光灯モドキのせいで。本当はめちゃくちゃ羨ましいんだよ？
[name="Exusiai"]   Thanks to this stupid light on my head, I don't get to wear big fun party hats like that. I'm so jealous!

[name="空"]   那如果强行戴上会怎么样？
[name="ソラ"]   じゃあもし、無理矢理にでもかぶってたらどうなるの？
[name="Sora"]   What happens if you try to force a hat on?

[name="能天使"]   就像是宿醉醒来的时候发现自己在德克萨斯的副驾驶上高歌猛进的感觉。
[name="エクシア"]   んー、二日酔の状態でテキサスの運転する車の助手席に座って突っ走る……みたいな感じかな。
[name="Exusiai"]   I get a feeling that's something like waking up hungover to find I'm in the passenger seat of a car driven by a very emotionally charged Texas.

[name="可颂"]   ......那真是不得了呢。
[name="クロワッサン"]   ……そら、想像するだけでもエラいことやな。
[name="Croissant"]   And that don't sound like a good time.

[name="空"]   你还真的这么试过啊......
[name="ソラ"]   本当に試したことあるんだ……。
[name="Sora"]   So you've tried that before...

[name="能天使"]   所以，老板在哪儿呢？
[name="エクシア"]   そんで、ボスはどこにいるのーっ？
[name="Exusiai"]   So where's the boss?

[name="拜松"]   这里人太多了，如果敌人追到了这里，会把普通人都卷进去的——
[name="バイソン"]   それにしても、ここは人が多すぎますよ。もし敵がここまで追ってきたら、一般人を巻き込むことになりますよ——。
[name="Bison"]   There's so many people here, if the enemy chases us this way, they'll get all mixed up with the civilians...

[name="孑"]   啊。
[name="ジェイ"]   あっ。
[name="Fillet"]   Ah.

[name="槐琥"]   ......是你们，企鹅物流。
[name="ワイフー"]   ……あなた方は、ペンギン急便の。
[name="Waai Fu"]   It's Penguin Logistics.

[name="德克萨斯"]   我记得你是......那个侦探所的打工妹......
[name="テキサス"]   確かキミは……あの探偵事務所のアルバイトの子……。
[name="Texas"]   And you're... the girl from the detective agency...

[name="能天使"]   旁边这位就是传闻中一人一刀走码头的分舵主？
[name="エクシア"]   隣の方は噂の親分さん？　包丁一本で港の辺りを張ってるっていう……
[name="Exusiai"]   And this guy here with you is that infamous knife-wielding helmsman from the docks?

[name="孑"]   不是，呃，怎么还有这么夸张的版本......
[name="ジェイ"]   違いやす。てか、そこまで大げさな噂があるんすか……。
[name="Fillet"]   What? No. That's the craziest version I've heard yet...

[name="孑"]   我只是个普通的小商贩，啊，今晚还兼职鱼丸师傅。
[name="ジェイ"]   俺ぁただのしがない商人ですよ。あっ、今夜は魚団子屋もやってやすが。
[name="Fillet"]   I'm just a typical hawker. Oh! Tonight I'm a part-time finball master.

[name="槐琥"]   你就是德克萨斯？
[name="ワイフー"]   あなたがテキサスさんですね？
[name="Waai Fu"]   And you must be Texas?

[name="槐琥"]   今天晚上发生的事情，你们可别说自己不知道。
[name="ワイフー"]   今夜に起こったこと、知らないなんて言わせませんよ。
[name="Waai Fu"]   Something happened tonight. Don't act like you don't know.

[name="孑"]   槐琥，用不着这么咄咄逼人的，她们应该也只是......
[name="ジェイ"]   ワイフー、そんなに突っかかるこたぁねぇよ。皆さんもただ……。
[name="Fillet"]   Waai Fu, you don't have to be so aggressive with them. They're just...

[name="槐琥"]   我知道。但是这种事件发生的次数实在是多到幽默。
[name="ワイフー"]   わかってます。ですがこの手の事件が起こった回数はもはや可笑しくなるくらいですよ。
[name="Waai Fu"]   I know. But it's ridiculous how many times this has happened.

[name="槐琥"]   如果不把其他人卷进去也就罢了。
[name="ワイフー"]   もし他の人を巻き込んでいなかったら、まだ目をつぶってあげられますけど。
[name="Waai Fu"]   It's fine as long as you don't get anyone else mixed up in this.

[name="槐琥"]   殃及无辜，让平民蒙受财产损失，你们自己就没有作为合法公民的自觉吗？
[name="ワイフー"]   無実の市民を巻き込み、公共の財産に損失を負わせるなんて、あなたたちには龍門の一市民としての自覚がないんですか？
[name="Waai Fu"]   But when it comes to getting innocent people hurt, causing so much damage to their property, can't you think like honest, law-abiding citizens for once?

[name="德克萨斯"]   ......
[name="テキサス"]   ……。
[name="Texas"]   ......

[name="拜松"]   （好像完全无法反驳！）
[name="バイソン"]   （完全に返す言葉もないって感じだ！）
[name="Bison"]   (Nothin' we can say to that.)

[name="德克萨斯"]   ......所以呢？
[name="テキサス"]   ……だからなんだ？
[name="Texas"]   ...So what?

[name="槐琥"]   所以，有必要纠正你们的劣根性。
[name="ワイフー"]   だから、あなたたちの腐った根性を叩き直す必要があります。
[name="Waai Fu"]   So we must correct your deficient character.

[name="空"]   用、用不着直接拉开拳架吧，我们也知道今晚给大家添了很多麻烦，但是有话好好说嘛。
[name="ソラ"]   こ、拳で殴り合う喧嘩は止めよ？　あたしたちも今夜はたくさん迷惑かけちゃったってわかってるから、まずは話し合おうよ。
[name="Sora"]   Th- there's no need to come to blows here. We know we've made a lot of trouble for a lot of people tonight, but we can talk this out.

[name="德克萨斯"]   ——好啊。
[name="テキサス"]   ——わかった。
[name="Texas"]   Sure.

[name="空"]   德克萨斯！？
[name="ソラ"]   テキサスさん！？
[name="Sora"]   Texas?!

[name="德克萨斯"]   话说在前头，今晚的事情，对我而言，同样莫名其妙，而且，很累。
[name="テキサス"]   言っておくが、今夜のことは私自身も意味がわからないんだ。それに正直疲れた。
[name="Texas"]   Let me say this first: everything that's happened tonight is completely baffling and inexplicable, and also completely exhausting.

[name="德克萨斯"]   所以我现在的心情实在不怎么好。
[name="テキサス"]   だから今の機嫌はあまり良くない。
[name="Texas"]   So let's just say I'm not in a great mood right now.

[name="德克萨斯"]   你明白吗？
[name="テキサス"]   わかるか？
[name="Texas"]   You hear what I'm saying?

[name="槐琥"]   一对一，我赢了，你们接下来就得乖乖遵纪守法。
[name="ワイフー"]   一対一で私が勝ったら、あなたたちには今後法規をしっかりと守っていただきます。
[name="Waai Fu"]   One on one. If I win, you guys follow the rules to the letter.

[name="槐琥"]   ......至少一个月。
[name="ワイフー"]   ……最低でも一ヶ月は。
[name="Waai Fu"]   ...for at least one month.

[name="拜松"]   （一个月就够了！？）
[name="バイソン"]   （一ヶ月だけでいいんだ！？）
[name="Bison"]   (Just a month?!)

[name="德克萨斯"]   我赢了，就让你们那些成天不务正业的家伙多管好自己的工作，少管闲事。
[name="テキサス"]   私が勝ったら、キミのところの、いつも本業を放ったらかして余計なことに首を突っ込む奴らに、大人しくしてもらおう。
[name="Texas"]   And if I win, then you and all your goldbricking busybodies have to mind your own damned business.

[name="槐琥"]   这说的倒是没错......但是，我是不会手下留情的！准备好！
[name="ワイフー"]   うっ、それはもっともな話……、しかし容赦はしませんよ！　準備は良いですか！
[name="Waai Fu"]   Fair's fair... But I won't go easy on you. Get ready!

[name="孑"]   唉，怎么就变成这样了呢。
[name="ジェイ"]   はぁ、どうしてこうなっちまったんすかね。
[name="Fillet"]   Ugh. How did we come to this.

[name="拜松"]   等等！都冷静一下！再怎么说，在市中心打架斗殴也有点太——
[name="バイソン"]   待ってください！　皆さんちょっと落ち着きましょうよ！　いくらなんでも街のど真ん中で殴り合いの喧嘩だなんて——。
[name="Bison"]   Hold on! Both of you, calm down! You can't just have a fistfight in the middle of the...

[name="酒客"]   好功夫，打得好！！
[name="イベント参加者"]   カンフーか、良い腕してらぁ！！
[name="Drunk"]   Woah! Kung fu! Sick!

[name="酒客"]   狼小姐也不要输啊！打！小心背后！
[name="イベント参加者"]   狼の姉ちゃんも負けるな！　行け！　後ろに気をつけろ！
[name="Drunk"]   The wolf's not going down easy. C'mon! Look out behind you!

[name="酒客"]   好久没见过这么漂亮的炎国功夫了！多耍几招啊！
[name="イベント参加者"]   こんなに綺麗な炎国カンフーは久しぶりに見たぞ！　もっと技を見せてくれ！
[name="Drunk"]   It's been a long time since I saw Yan kung fu this good! Show us some more!

[name="拜松"]   这不是表演啊！
[name="バイソン"]   これは見世物じゃないですよ！
[name="Bison"]   This isn't a show!

[name="空"]   德克萨斯！加油！
[name="ソラ"]   テキサスさん！　頑張ってください！
[name="Sora"]   Get her, Texas!

[name="能天使"]   小心脚下！是佯攻！
[name="エクシア"]   足元に気をつけて！　そこフェイントだよ！
[name="Exusiai"]   Watch your leg! It's a feint!

[name="拜松"]   你们也不要跟着起哄啊！
[name="バイソン"]   皆さんも一緒になって煽らないでください！
[name="Bison"]   You don't have to join in!

[name="孑"]   汽水，你们要吗。
[name="ジェイ"]   ソーダでももらってきやしょうか。
[name="Fillet"]   Soda. Want some?

[name="可颂"]   啊！谢谢。但是你不打算稍微劝个架吗？
[name="クロワッサン"]   お！　兄ちゃん、おおきに。アンタはあの喧嘩、止めるつもりなさそうやね。
[name="Croissant"]   Oh. Thank ya kindly. But ain't ya gonna try to stop this little kerfuffle?

[name="孑"]   阻止不了，看样子也知道吧。
[name="ジェイ"]   止めらんねえでしょうね、あの様子見てりゃ分かりやす。
[name="Fillet"]   I can't stop it. Looks like you know that already.

[name="拜松"]   ......我们就这么看着？
[name="バイソン"]   ……ぼくたちこうして見てるだけ？
[name="Bison"]   So we just watch?

[name="孑"]   不然加加油也可以？
[name="ジェイ"]   何なら応援でもしてやりゃあいいのでは？
[name="Fillet"]   Or I guess we could cheer them on?

[name="广播"]   *杂音*——
[name="放送"]   *ノイズ*――
[name="Broadcast"]   *crackle*

[name="拜松"]   ......怎么回事？
[name="バイソン"]   ……何だろう？
[name="Bison"]   What's that?

[name="广播"]  喂——！所有参加安魂夜派对的好市民们！
[name="放送"]  オーイ！　安魂夜のパーティーにお越しの善良な市民たちー！
[name="Broadcast"]  Attention! All good citizens attending the Sauin celebration!

[name="酒客"]   什么？
[name="イベント参加者"]   なんだ？
[name="Drunk"]   What?

[name="酒客"]   搞什么，那个家伙是怎么回事？
[name="イベント参加者"]   何事だ、アイツ何なんだ？
[name="Drunk"]   What's up? What's that guy doing?

[name="广播"]  听得见吗~？
[name="放送"]  聞こえてるか～い？
[name="Broadcast"]  Can you hear me?

[name="酒客"]   喂，你很吵欸！
[name="イベント参加者"]   おい、うるせえぞ！
[name="Drunk"]   Hey! You're too loud!

[name="广播"]  不错不错，看来听得见。
[name="放送"]  いいねいいね、聞こえてるみたいだな。
[name="Broadcast"]  Aight. Great. You can hear me.

[name="广播"]  那么现在，请静一静！静一静！谢谢！
[name="放送"]  ではこっからは静かにしてくれ！　静かに！　どうも！
[name="Broadcast"]  Now, everybody, quiet down! Quiet down please!

[name="广播"]  然后竖起耳朵，膜拜我。
[name="放送"]  さぁ、耳の穴かっぽじって俺にひれ伏しな。
[name="Broadcast"]  Lend me your ears. And bow before me.

[name="酒客"]   那、那家伙怎么回事！？
[name="イベント参加者"]   な、何なんだアイツは！？
[name="Drunk"]   What's this guy's deal?

[name="酒客"]   等等，他是大帝！喂，是塞壬的说唱之神！快来！
[name="イベント参加者"]   待て！　あれはエンペラーだ！　おい、MSRのラップの神だぞ！　早く来いよ！
[name="Drunk"]   Wait a minute, that's Emperor! From Monster Siren Records! C'mon!

[name="酒客"]   他不是应该在哥伦比亚吗！？怎么会在龙门？
[name="イベント参加者"]   アイツはクルビアにいたはずじゃ！？　どうして龍門に？
[name="Drunk"]   Shouldn't he be in Columbia?! What's he doing in Lungmen?

[name="拜松"]   ......大帝先生，在干什么？
[name="バイソン"]   ……エンペラーさん、何してるんです？
[name="Bison"]   What is Mr. Emperor... doing?

[name="能天使"]   老板总自诩是音乐人嘛。
[name="エクシア"]   ボスはいつもミュージシャン気取りだからさ。
[name="Exusiai"]   The boss always does this music producer thing.

[name="空"]   实际上也是喔。
[name="ソラ"]   実際ミュージシャンだけどね。
