0:00 A.M.    天气/沙尘
a.m.00:00 天候/砂嵐
0:00 AM \ Dusty

龙门市区，商业街
龍門市街 商店街
Downtown Lungmen, Busy Street

[name="孑"]   ——
[name="ジェイ"]   ——。
[name="Fillet"]   …

[name="槐琥"]   喂，你知道你现在的表情很吓人吗？
[name="ワイフー"]   ちょっと、あなたの今の顔、どれだけ怖いか分かってます？
[name="Waai Fu"]   Hey, you're doing the whole "triad face" thing again, you know?

[name="孑"]   ......你回来了，那些人你调查清楚了吗？
[name="ジェイ"]   ……戻りやしたか。連中のこと、何か分かったんで？
[name="Fillet"]   ...Welcome back. Did you look into those people for me?

[name="槐琥"]   稍微有一些眉目，虽然很想把那些胡作非为的家伙绳之以法，但似乎不是我一个人就能解决的事情。
[name="ワイフー"]   わずかな手がかりはありました。あの悪逆非道の奴らに法の裁きを下したいところですが、私一人で解決できることではなさそうでした。
[name="Waai Fu"]   I came up with a rough sketch. As much as I'd like to bring these evildoers to justice, it looks like it's not going to be a one woman job.

[name="槐琥"]   说不定要拜托事务所的那些家伙。
[name="ワイフー"]   こうなると、事務所の皆さんに頼る必要があるかもしれません。
[name="Waai Fu"]   I may have to ask for help at the office.

[name="槐琥"]   对方势力不小，阿那个家伙，又不肯直接告诉我，故弄玄虚的......
[name="ワイフー"]   相手は強そうですし、アさんだって勿体ぶってばかりで、素直に教えてくれないですし……。
[name="Waai Fu"]   Seems they're not your run of the mill punks. And that Aak wasn't exactly forthcoming. He has to go and make everything so complicated...

[name="孑"]   哪个家伙？
[name="ジェイ"]   どいつだって？
[name="Fillet"]   I'm sorry, who?

[name="槐琥"]   阿。
[name="ワイフー"]   アさん。
[name="Waai Fu"]   Aak.

[name="孑"]   啊？
[name="ジェイ"]   あ？
[name="Fillet"]   Ah?

[name="槐琥"]   ......他就叫阿。
[name="ワイフー"]   ……彼は「ア」という名前なんです。
[name="Waai Fu"]   ...His name is Aak.

[name="孑"]   哦......那，总而言之，不是什么轻松的事情对吧。
[name="ジェイ"]   おぉ……つまりそんな単純な一件ってワケじゃねぇってこったな。
[name="Fillet"]   Oh... Okay, well, since it's not so simple,

[name="孑"]   我来帮忙。
[name="ジェイ"]   なら俺に行かせてくんな。
[name="Fillet"]   I'll help out.

[name="槐琥"]   ......你没听明白吗？如果只是那些混混倒还好说，可如果是一个有组织有规模的帮派组织，我们当然不能轻举妄动。
[name="ワイフー"]   ……あなた今の話聞いてました？　ただの不良集団であれば、まだ私たちで何とかできます。しかしもし組織的で大規模なマフィアだとしたら、軽率な行動は慎むべきです。
[name="Waai Fu"]   ...You were listening, weren't you? A bunch of street thugs is one thing, but if we're dealing with a large-scale organized syndicate, we can't just go in there and start throwing punches.

[name="孑"]   “不能轻举妄动”，也不是毫无办法，对吧。
[name="ジェイ"]   「軽率な行動は慎むべき」だけど、全く方法がないわけじゃねぇってこったな。
[name="Fillet"]   We have other options besides going in there and starting to throw punches, don't we?

[name="槐琥"]   你竟然会和我抠字眼？
[name="ワイフー"]   まさかあなたがそんなところに気づくとは。
[name="Waai Fu"]   Are you really going to nail me on semantics?

