11:37 P.M.    天气/多云
p.m.11:37 天候/曇天
11:37 PM \ Cloudy

龙门日落大道，某酒吧，靠后门边最后一张没擦干净的桌子
龍門サンセット通りのとあるバー　裏口に一番近い汚れたテーブル
Lungmen, Sunset Boulevard, a certain bar, the last unwiped table near the back

[name="卡彭"]   黑桃J，同花顺，又是我赢了，甘比诺。
[name="カポネ"]   スペードのジャック、これでストレートフラッシュだ。また俺の勝ちのようだな。ガンビーノ。
[name="Capone"]   Jack of Spades. Straight flush. I win again, Gambino.

[name="甘比诺"]   是你赢了，但你藏牌的速度比我用脚趾还慢。
[name="ガンビーノ"]   あぁん？　勝ちだって？　馬鹿言うんじゃねぇ。テメェはカード捌きが遅えから、イカサマが見え見えなんだよ。
[name="Gambino"]   You win again. But you deal slower than I do with my toes.

[name="卡彭"]   你又想赖账了吗？
[name="カポネ"]   また負け惜しみか？
[name="Capone"]   You backin' out again?

[name="甘比诺"]   给我闭嘴。
[name="ガンビーノ"]   黙れ。
[name="Gambino"]   Shut up.

[name="卡彭"]   闭嘴？你昨晚怎么不知道闭嘴？那样能省不少事，真的。
[name="カポネ"]   黙れだと？　昨夜お前が黙ってれば、この俺もあんな苦労をしないで済んだがな。分かってんのか？
[name="Capone"]   Shut up? Wish you knew how to shut up last night. Coulda saved us a lotta trouble.

[name="甘比诺"]   你在龙门待的有点久了，卡彭。也许你该回忆一下怎么和我说话，我才是首领。
[name="ガンビーノ"]   この野郎、口の利き方に気をつけろ！　カポネ、テメェは龍門に長くいすぎて忘れてるかも知れねぇが、ボスはこの俺だ。
[name="Gambino"]   You been in Lungmen a long time, Capone. Maybe you need a reminder in how you talk to me, the boss.

[name="卡彭"]   坐下，你这蠢货，叙拉古的生意越来越差就是因为你的好脾气。
[name="カポネ"]   イキってないで座れ、この間抜け野郎。シラクーザの商売がどんどん悪くなってんのは、お前がそうやってすぐキレるせいだろうが。
[name="Capone"]   Sit down, you moron. It's thanks to that temper of yours that business in Siracusa's so lousy.

[name="甘比诺"]   你在龙门待了七八年，除了学到几句龙门粗口，你又干了什么？眼睁睁看着我们的渠道越来越少？
[name="ガンビーノ"]   そういうテメェは、龍門に来て七、八年にもなるのに、やったことといえば龍門スラングを覚えたぐらいじゃねぇか。俺たちのパイプが細くなっていくのを、ただポカンと見ているつもりか？
[name="Gambino"]   You been here seven or eight years, and what've you done besides learn some Lungmen swearings? You stood here and watched our channels dry up?

[name="卡彭"]   至少昨天赢得了那位支持的人是我，而你，差点搅黄了我这么长久的努力。
[name="カポネ"]   よく言うぜ。少なくとも昨日、あの方から支持を得たのはこの俺だということを忘れるなよ。しかもお前、危うく俺の仕込みをフイにするところだったよな。
[name="Capone"]   I'm the one who got us a supporter last night. Try as you did to cock it up.

[name="卡彭"]   还有，在龙门我们平起平坐，“首领”。
[name="カポネ"]   それと、この龍門では俺たちは対等のハズだったよな。なぁボスさんよ。
[name="Capone"]   And besides, here in Lungmen, you and me are equals, "boss."

[name="甘比诺"]   鼠王在龙门搞的这一套，不都是叙拉古玩烂了的把戏？
[name="ガンビーノ"]   鼠王の連中が龍門でやったやり口なんざ、シラクーザじゃあ使い古されたペテンばかりじゃねぇか。
[name="Gambino"]   The way this Rat King runs the show here, ain't it just the old worn out Siracusan tricks?

[name="卡彭"]   但是你把叙拉古的一手好牌打得稀烂。
[name="カポネ"]   だがお前はシラクーザのせっかくの手札を台無しにしたよな。
[name="Capone"]   If only you could play a good Siracusan hand worth a damn.

[name="甘比诺"]   而你就是我手里最烂的一张牌。
[name="ガンビーノ"]   あん？　俺の手札で一番ダメなのはテメェだよ。
[name="Gambino"]   Too bad you're the worst card in it.

[name="卡彭"]   我们会在龙门占据一席之地的。好好想想，一座疲惫不堪、暗流涌动的城市，这里会成为家族的下一个故土。
[name="カポネ"]   いいか？　よく考えろ。俺たちは必ず居場所を勝ち取るんだ。この疲れ切って裏社会が蠢く街、龍門でだ。ここが俺たちのファミリーの次の故郷になる。
[name="Capone"]   We got a role to play in Lungmen. Think about it: we got a tired, broken down city with a rich underworld. It could be a new home for the Family.

[name="甘比诺"]   只有叙拉古的土地会尊重我们，卡彭，别忘了被赶出那张桌子，夹着尾巴离开叙拉古的耻辱。
[name="ガンビーノ"]   俺たちの拠り所はシラクーザだけだ、カポネ。あのときテーブルから追い出され、尻尾を巻いてシラクーザを離れるしかなかった恥辱を忘れるんじゃねぇ。
[name="Gambino"]   Only Siracusa can truly respect us, Capone. Don't forget the shame of being driven out of our home with our tails between our legs.

[name="卡彭"]   信条喂不饱任何人。
[name="カポネ"]   そんな思い込みで喰っていけるなら、誰も苦労はしないだろうな。
[name="Capone"]   You can't eat honor.

[name="甘比诺"]   哼。
[name="ガンビーノ"]   フン。
[name="Gambino"]   Hmph.

[name="卡彭"]   魏彦吾在这座城市定下了规则，只要不过界，我们依旧可以在这里大展拳脚，龙门需要一些“人情产业”。
[name="カポネ"]   線を越えなければ、俺たちはいつも通り大手を振って動くことができる。龍門にとっては「必要悪」ってやつだな。それがあのウェイが決めたルールだ。
[name="Capone"]   Wei Yenwu set some rules for this city. As long as we don't break 'em, we can run our rackets here just like before. Lungmen needs a little "legitimate business."

[name="甘比诺"]   ......有几年没见，你越来越让我感到厌倦了。
[name="ガンビーノ"]   ……しばらくぶりに会ったが、テメェはますます人をイラつかせるようになりやがったな。
[name="Gambino"]   ...I ain't seen you in years and I'm already gettin' sick of you.

[name="卡彭"]   彼此彼此，首领。
[name="カポネ"]   それはお互い様だぜ。ボスさんよ。
[name="Capone"]   Same same, boss.

[name="甘比诺"]   你——！
[name="ガンビーノ"]   テメェ――！
[name="Gambino"]   You...!

[name="？？？"]   别在这里叭叭叭叭地吵架，这杯劣质气泡酒已经够让我烦躁的了，拿着玻璃瓶，去外面打一架如何？
[name="？？？"]   こんなところでガタガタやってんじゃねぇ！　タダでもこのマズすぎるシャンパンにイライラしてんのによ。邪魔くせぇ、空き瓶でも持って表でやれや。
[name="???"]   Can you not have your noisy lovers' quarrel in here? This lousy champagne's doin' enough to piss me off. Grab a bottle and take it outside, aight?

[name="甘比诺"]   滚开，这不关你事。
[name="ガンビーノ"]   あぁ？　失せろ。テメェには関係ねぇ。
[name="Gambino"]   Get outta here. This don't concern you.

[name="？？？"]   注意你的口气，我才是这里的老板。
[name="？？？"]   俺のこの店でそんな口利くなんていい度胸じゃねぇか。
[name="???"]   Watch your tone. I'm the boss in here.

[name="？？？"]   顺便提供殡葬一条龙包办，如果你俩有幸同归于尽，丧葬费打八折。
[name="？？？"]   ウチの店はな葬式をフルセットでやれるオーダーだって受けられるんだぜ。もしお前らが運よく共倒れになったら、二人セットで二割引きにしてやるからよ。
[name="???"]   We got a one-stop funeral service, if you're interested. 20% off if you both die together.

[name="卡彭"]   喂......这家伙是......
[name="カポネ"]   おい……こいつは……。
[name="Capone"]   Hey... ain't this guy...?

[name="甘比诺"]   ......从叙拉古离开之后，这就是我们的境遇。没人还记得你是一个西西里人。
[name="ガンビーノ"]   ……シラクーザを離れると、俺たちは所詮この扱いだ。テメェがシチリア人だってことなんか、誰も覚えちゃいねぇよ。
[name="Gambino"]   ...This is what we get since we left Siracusa. Nobody knows you're Sicilian.

[name="？？？"]   谁管你是谁。
[name="？？？"]   は？　お前が誰かなんて知ったこっちゃねぇよ。
[name="???"]   Who gives a shit who you are?

[name="甘比诺"]   嘁！卡彭，炸掉这间品味令人作呕的酒吧，算不算美化市容？魏彦吾不会生气的吧。
[name="ガンビーノ"]   チッ！　おいカポネ、こんな胸糞悪いバーなんか吹っ飛ばしちまおうぜ。そうすりゃ街も少しは小綺麗に見えるだろうさ。ウェイだって怒りゃしねぇ。
[name="Gambino"]   Yo, Capone, do me a favor and torch this tacky joint. Call it "urban beautification." Wei Yenwu'll thank us for tearin' down a tastelessly decorated rathole.

[name="卡彭"]   闭嘴！别挑衅他！
[name="カポネ"]   黙れ！　奴を挑発するな！
[name="Capone"]   Quiet! Don't provoke him!

[name="？？？"]   啊？
[name="？？？"]   あぁ？
[name="???"]   Oh?

[name="大帝"]   你说谁的品味令人作呕？
[name="エンペラー"]   誰の趣味が胸糞悪いって？
[name="Emperor"]   Who you callin' "tasteless?"

