9:50 A.M.  天气/晴
a.m. 9:50 天気/晴天
9:50 AM \ Sunny
9:50 a.m. 날씨/맑음

罗德岛舰船，第二舱室，公共食堂
ロドス艦船 第二艦室 公共食堂
Rhodes Island Landship, Compartment 2, Cafeteria
로도스 아일랜드 2호 선실, 공용 식당

[name="角峰"]     北谢拉格风爆炒绿英菜，再撒上少许罗德岛特制调味粉......
[name="マッターホルン"]     北イェラグ風のガーデンクレス炒めに、ロドス特製のスパイスを少し振って……
[name="Matterhorn"]     North Kjerag-style stir-fried greens, sprinkled with a little Rhodes Island Special Seasoning....
[name="마터호른"]     북쉐라그식 녹영채 볶음에, 로도스 아일랜드 특제 조미료를 뿌리면……

[name="角峰"]     这样就完成了。
[name="マッターホルン"]     これで完成です。
[name="Matterhorn"]     And we're done.
[name="마터호른"]     ……완성입니다.

[name="古米"]     哇！看起来好好吃！
[name="グム"]     わぁ！　美味しそう！
[name="Gummy"]     Wow! Looks delicious!
[name="굼"]     와! 맛있어 보여!

[name="角峰"]       过奖了。
[name="マッターホルン"]       そんな、大げさですよ。
[name="Matterhorn"]       You flatter me.
[name="마터호른"]       과찬입니다.

[name="角峰"]     这种绿叶蔬菜在谢拉格很少见，我也很少有机会尝试去料理，能顺利再好不过。
[name="マッターホルン"]     イェラグ――雪境（ヒーラ）はロドスと違い資源が不足していますから、こういった葉野菜は、お金があってもなかなか手に入りません。料理する機会もないので、完成しただけでも大成功です。
[name="Matterhorn"]     Such leafy greens are rare in Kjerag, so I don't often get to cook dishes like this.
[name="마터호른"]     이런 녹색 채소는 쉐라그에서 보기 힘들다 보니, 저도 요리해볼 기회가 많지 않죠. 완성한 것만으로도 만족합니다.

[name="角峰"]     雪境不比罗德岛，在谢拉格的雪原上，许多东西都很匮乏，是花钱也很难买到的。这里虽说是在舰上，但物资却还是很充足，真是难得。
[name="マッターホルン"]     でもここは移動艦船の割に物資が充実していて……珍しいですね。
[name="Matterhorn"]     Things are different in the snowfields of Kjerag. Many goods are hard to come by, even with money. It's not like here on this landship, where supplies are so plentiful.
[name="마터호른"]     쉐라그의 설원은 로도스 아일랜드만큼 풍족하지 않습니다. 이런 재료들은 아무리 돈이 있어도 살 수 없는 경우가 많죠. 이곳은 함선이라곤 하지만 물자가 풍족합니다. 정말 대단합니다.

[name="古米"]     物资啊......这方面的事情，我好像听可露希尔姐姐提起过。
