AM10：21 罗德岛训练场
a.m. 10:21 ロドス訓練場
10:21 AM Rhodes Island Training Ground
10:21 a.m.  로도스 아일랜드 훈련장

[name="芬"]     就是这里！
[name="フェン"]     ここだっ！
[name="Fang"]     This is it!
[name="팽"]     여기다!

[name="格瑞斯教官"]     还不够快！
[name="グレース教官"]     遅い！
[name="Instructor Grace"]     Too slow!
[name="그레이스 교관"]     느려!

[name="芬"]     糟了！
[name="フェン"]     しまった！
[name="Fang"]     Shit!
[name="팽"]     이런!

[name="芬"]     但是......！
[name="フェン"]     でもまだ……！
[name="Fang"]     But...!
[name="팽"]     하지만……!

[name="格瑞斯教官"]     到此为止！
[name="グレース教官"]     そこまで！
[name="Instructor Grace"]     That's enough for today.
[name="그레이스 교관"]     여기까지!

[name="芬"]     呼，呼......
[name="フェン"]     はぁ、はぁ……
[name="Fang"]     Phew....
[name="팽"]     허억, 허억……

[name="格瑞斯教官"]     不错啊，芬，上次你可挡不住这一下。
[name="グレース教官"]     悪くないぞ、フェン。前回はこれを受け止められなかったからな。
[name="Instructor Grace"]     Not bad, Fang. You blocked it this time.
[name="그레이스 교관"]     저번에는 못 막았는데. 좀 늘었네? 팽.

[name="格瑞斯教官"]     你在战斗中越来越灵活了，这很好。
[name="グレース教官"]     戦闘中の反応がどんどん良くなってきている、いいぞ。
[name="Instructor Grace"]     I'm glad to see you getting more flexible.
[name="그레이스 교관"]     싸울수록 더 민첩해지는군. 아주 좋아.

[name="芬"]     嗯，杜宾老师教导我的，不仅是要运用自己的脚力，还要适应自己的速度，我现在稍微有些掌握了这种感觉！
[name="フェン"]     はい、ドーベルマン教官から教わったんです。自分の脚力に任せて立ち回るだけではなく、速度にもしっかり慣れる必要があると。まだまだではありますが、少しずつ感覚が掴めてきた気がします！
[name="Fang"]     Yeah, it's what Instructor Dobermann taught me. Not just about footwork, but about adjusting my speed. I think I'm starting to get the hang of it!
[name="팽"]     자신의 다리 힘을 쓰는 것뿐 아니라, 속도에도 익숙해져야 한다고 도베르만 교관님이 가르쳐 주셨거든요. 이제 좀 어떤 느낌인지 알 것 같습니다!

[name="格瑞斯教官"]     没错，你有库兰塔天生的速度，对奇袭很有帮助。但如果敌人挡住了你的攻击，而你无法做出回应，那就没有很大的意义。
[name="グレース教官"]     その通りだ。君のクランタ持ち前の速度は奇襲には役に立つ。だが敵に攻撃を受け止められてしまった場合に、すぐ対応することができなければ、奇襲の意味はなくなってしまうからな。
[name="Instructor Grace"]     Right. You have your natural Kuranta speed. It's good for quick attacks, but those aren't worth anything if the enemy blocks them and you have no counter.
[name="그레이스 교관"]     좋아. 너는 쿠란타의 스피드를 타고났으니 기습에 큰 도움이 될 거다. 하지만 아무리 빨라도 적이 너의 공격을 막았을 때 반응하지 못한다면 의미가 없지.

[name="格瑞斯教官"]     总之，这次实战演习你通过了。
[name="グレース教官"]     とにかく、今回の実戦演習は合格だ。
[name="Instructor Grace"]     Anyway, you passed this field exercise.
[name="그레이스 교관"]     어쨌든, 이번 실전 연습은 통과다.

[name="芬"]     谢谢格瑞斯老师！
[name="フェン"]     ありがとうございます、グレース先生！
[name="Fang"]     Thanks, Instructor Grace!
[name="팽"]     감사합니다, 그레이스 선생님!

[name="格瑞斯教官"]     不过既然你通过了，下次的小测验可就会更加难了。
[name="グレース教官"]     だが合格したからには、次のテストはさらに難しいものになるぞ。
[name="Instructor Grace"]     But the next one will be even harder.
[name="그레이스 교관"]     이번에는 통과했지만, 다음 테스트는 더 어려워질 거다.

[name="芬"]     是，我会加油的！
[name="フェン"]     はい、全力で臨みます！
[name="Fang"]     I'll be ready!
[name="팽"]     네, 열심히 하겠습니다!

[name="格瑞斯教官"]     嗯，要的就是这种精神。
[name="グレース教官"]     よし、その意気だ。
[name="Instructor Grace"]     That's the spirit.
[name="그레이스 교관"]     그래. 바로 그 정신이다.

[name="米格鲁"]     芬~~
[name="ビーグル"]     フェン隊長～。
[name="Beagle"]     Fang~
[name="비글"]     팽 팀장님~

[name="芬"]     米格鲁，你的测验也结束了吗，怎么样？
[name="フェン"]     ビーグル、そっちのテストも終わったんだね。どうだった？
[name="Fang"]     Beagle, did you finish your test? How did it go?
[name="팽"]     비글도 테스트 끝났지? 어땠어?

[name="米格鲁"]     唉，我没有通过......法伦老师的进攻太刁钻了......
[name="ビーグル"]     はい、不合格でした……ファロン先生の抜け目のない攻撃に押されてしまって……
[name="Beagle"]     Aw, I didn't pass.... Instructor Fallon has some real sneaky tricks...
[name="비글"]     에, 통과 못 했어요…… 펠른 선생님의 공격이 너무 까다로워서……

[name="芬"]     别灰心，下次再加油吧。
[name="フェン"]     そっか。でも落ち込まないで。次も頑張ろう。
[name="Fang"]     Don't get discouraged. You'll get 'em next time.
[name="팽"]     기죽지 마. 다음번에 잘하면 되지.

[name="米格鲁"]     芬呢，通过了吗？
[name="ビーグル"]     フェン隊長はどうでしたか？
[name="Beagle"]     How about you? Did you pass?
[name="비글"]     팽 팀장님은요? 통과했어요?

[name="芬"]     嗯。
[name="フェン"]     うん、合格した。
[name="Fang"]     Yeah.
[name="팽"]     응. 합격했지.

[name="米格鲁"]     真好啊......
[name="ビーグル"]     いいなぁ……
[name="Beagle"]     Nice...
[name="비글"]     좋겠다……

[name="克洛丝"]     呜呜，屁股好痛......
[name="クルース"]     うう、お尻が痛いよぉ……
[name="Kroos"]     Aww, my butt...
[name="크루스"]     으으으… 엉덩이 아파……

[name="米格鲁"]     克洛丝，你怎么了？
[name="ビーグル"]     クルースちゃん、どうしたの？
[name="Beagle"]     Kroos, are you okay?
[name="비글"]     크루스, 왜 그래?

[name="克洛丝"]     我被苔丝老师射中了屁股......
[name="クルース"]     テス先生にお尻を撃たれちゃって……
[name="Kroos"]     Instructor Tess shot my patootie...
[name="크루스"]     테스 선생님한테 엉덩이 맞았어……

[name="米格鲁"]     啊？
[name="ビーグル"]     えっ？
[name="Beagle"]     Huh?
[name="비글"]     어쩌다가?

[name="克洛丝"]     我不是负责狙击嘛，所以测试是和苔丝老师互相隐蔽并找到对方，但是我完全没注意到她是怎么绕到我背后去的！
[name="クルース"]     私は狙撃担当でしょ、だからテストはテス先生と隠れ合ってどっちが先に相手を見つけるかって内容だったの。でも気付かないうちに後ろに回り込まれちゃったんだよぉ！
[name="Kroos"]     The test was a sniper war between me and Instructor Tess. We had to hide and find each other. I still don't know how she got behind me!
[name="크루스"]     난 스나이퍼 쪽이잖아. 그래서 테스 선생님하고 서로 숨어서 상대방을 찾는 훈련을 했거든. 그런데 정신 차려 보니까, 어느샌가 내 뒤로 돌아와 있더라고!

[name="格瑞斯教官"]     哈哈哈哈哈！
[name="グレース教官"]     ハハハハハ！
[name="Instructor Grace"]     Hahahahahaha!
[name="그레이스 교관"]     하하하하하!

[name="克洛丝"]     格瑞斯大叔你还笑！
[name="クルース"]     グレースおじさん笑わないでよぉ！
[name="Kroos"]     Don't laugh at me, Uncle Grace!
[name="크루스"]     그레이스 아저씨, 그만 웃어요!

[name="格瑞斯教官"]     我必须承认，其他的狙击教官这几天恰好不在，导致测试只能和苔丝对上的你确实有点倒霉。
[name="グレース教官"]     他の狙撃教官はここ数日出払ってるから、テスの奴とテストをやるしかなかったんだな。そりゃ運が悪かった。
[name="Instructor Grace"]     I'll tell you, you got really unlucky. The other sniping instructors just happen to be out for a few days and you got stuck with Tess.
[name="그레이스 교관"]     다른 스나이퍼 교관들이 며칠 자리를 비워서 테스랑 훈련하게 된 건, 확실히 재수가 없었네.

[name="格瑞斯教官"]     我都受不了她的神出鬼没，你应该试试把你找偷懒地点的劲头拿出来。
[name="グレース教官"]     俺も神出鬼没なあいつには手を焼かされたものさ。クルースも、いつものサボる場所を探す時のやる気を発揮するべきだったな。
[name="Instructor Grace"]     Even I can't keep track of that phantom. My advice is you put the same effort into finding a sniper nest that you do into finding places to nap.
[name="그레이스 교관"]     그 신출귀몰함은 나도 당해낼 수가 없단 말이지. 농땡이 피울 장소를 찾던 머리를 전부 짜내는 게 좋을 거야.

[name="克洛丝"]     嘁，你就笑吧。
[name="クルース"]     ちぇ～、もういいよ！　笑いたければ笑って。
[name="Kroos"]     Yeah, yeah. Laugh it up.
[name="크루스"]     쳇. 웃고 싶으면 웃으라지.

[name="克洛丝"]     我刚刚去看了眼芙蓉和炎熔，炎熔通过了，芙蓉没有，她们两个先回去了，你们呢？
[name="クルース"]     ハイビスちゃんとラヴァちゃんにも会ったけど、ラヴァちゃんは合格でハイビスちゃんは不合格だって。先に戻るって言ってたよ。みんなはどうだったぁ？
[name="Kroos"]     I just checked on Hibiscus and Lava. Lava passed, but Hibiscus didn't. They went home already. How did you do?
[name="크루스"]     방금 라바랑 히비스도 보고 왔는데, 라바는 통과, 히비스는 탈락이야. 둘 다 먼저 돌아갔는데, 너희는?

[name="米格鲁"]     芬通过了哦。
[name="ビーグル"]     フェン隊長は合格だって。
[name="Beagle"]     Fang passed.
[name="비글"]     팽 팀장님은 통과했어요.

[name="克洛丝"]     啊，芬你这个叛徒！
[name="クルース"]     フェンちゃんの裏切り者ぉ！
[name="Kroos"]     Aw, Fang, you traitor!
[name="크루스"]     와…… 이 배신자!

[name="芬"]     谁是叛徒啦！
[name="フェン"]     誰が裏切り者だって！？
[name="Fang"]     Why am I a traitor?
[name="팽"]     내가 왜 배신잔데?!

[name="米格鲁"]     唉，这次又没有通过测试，怎么办啊......
[name="ビーグル"]     まあまあ、フェン隊長。はぁ、わたしもまた不合格だったし、どうしたら……
[name="Beagle"]     Ugh, I failed again. What is wrong with me...?
[name="비글"]     으으… 이번에도 또 통과 못 하면 어쩌죠……

[name="芬"]     别灰心啊，米格鲁，我们还有许多机会。
[name="フェン"]     諦めちゃダメだよ、ビーグル。まだまだチャンスはあるから。
[name="Fang"]     Don't be discouraged, Beagle, we still have plenty of chances.
[name="팽"]     비글, 너무 걱정 마. 기회는 아직 있으니까.

[name="克洛丝"]     就是啊，只是一次小测验，有什么好难过的，而且下午才是地狱呢。
[name="クルース"]     そうだよぉ、これはただの小テストだし、悩むことないよぉ。本当の地獄は午後からなんだからぁ。
[name="Kroos"]     Yeah, it's just a quiz. Nothing to be too upset about. And we still have hell this afternoon.
[name="크루스"]     맞아. 미니 테스트일 뿐인데 뭘 그렇게 걱정해. 진짜 지옥은 오후부터라고.

[name="格瑞斯教官"]     哈哈，确实，上午只是你们的个人小测验，杜宾是交给我们几个教官的，不过下午的团体实战测验就不一样了。
[name="グレース教官"]     ハハ、確かに。午前中はドーベルマン教官が俺たちに割り振った個別の小テストで、午後は教官直々の団体実戦テストだからな。一味違うだろう。
[name="Instructor Grace"]     Haha, that's right. Dobermann let us do your individual tests this morning. But the afternoon group field test? That's all her.
[name="그레이스 교관"]     하하, 확실히 오전은 도베르만 교관님이 우리 교관들한테 맡긴 미니 테스트였지. 하지만 오후의 단체 실전 테스트는 다를걸.

[name="克洛丝"]     唉，别说了，我已经能够想象杜宾老师看到我的测验结果的表情了。
[name="クルース"]     あー、そういう話はやめようよぉ。ドーベルマン教官が私のテスト結果を見た時の顔が目に浮かぶよぉ。
[name="Kroos"]     *Sigh* Please. I can already imagine the look on Instructor Dobermann's face when she sees my test results.
[name="크루스"]     으으… 저런 소리 들으니까… 벌써 내 테스트 결과를 본 도베르만 선생님의 얼굴이 떠오르는 것만 같아…

[name="格瑞斯教官"]     现在知道后悔了？
[name="グレース教官"]     練習をサボってきたことを、今さら後悔したか？
[name="Instructor Grace"]     Now you're sorry?
[name="그레이스 교관"]     이제 와서 후회하는 건가?

[name="克洛丝"]     才没有，杜宾老师说我们按照自己的步调来就好了，我只是比较晚熟！
[name="クルース"]     違うよ。ドーベルマン教官だって自分たちのペースで成長していけばいいって言ったし～。私は大器晩成型なんだよぉ！
[name="Kroos"]     No. Instructor Dobermann said we could go at our own pace. I'm just a late bloomer!
[name="크루스"]     그게 아니라, 도베르만 선생님은 자기 페이스에 맞추면 된다고 했거든요. 나는 그저 페이스가 엄~청 느릴 뿐인 거지!

[name="格瑞斯教官"]     嚯嚯。
[name="グレース教官"]     ほほー。
[name="Instructor Grace"]     Hah hah.
[name="그레이스 교관"]     허허……

[name="米格鲁"]     但是我也担心杜宾老师对我们失望......
[name="ビーグル"]     わたしは、教官に失望されちゃわないか心配……
[name="Beagle"]     But I'm also worried she'll be disappointed in us...
